Event,plot,grid,collection_datetime,sample_name,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU,evacuation_date
TMP,Control,C3,2023-06-28T15:59:00Z,TMP_C_C3_20230628,0.014328,0.99693,0.01857,0.99967,0.77158,5.395,1.595,0.92571,0.57412,0.58642,0.35103,0.34197,0.34197,0.084542,0.065067,0.026148,0.016271,1.3685,2.1113,0.3324,0.19978,1.1255,1.0426,2023-06-23
TMP,Control,C6,2023-06-28T19:24:00Z,TMP_C_C6_20230628,0.014235,0.99871,0.018519,0.99982,0.76867,5.3406,1.556,0.92839,0.56774,0.58054,0.44877,0.43626,0.43626,0.10939,0.084029,0.034081,0.021001,1.7678,2.7131,0.39947,0.20971,1.5017,1.3705,2023-06-23
TMP,Control,C6,2023-06-03T18:41:00Z,TMP_C_C6_20230603,0.014929,0.99843,0.019802,0.9997,0.75389,5.8582,1.5791,0.93038,0.58284,0.59222,0.26698,0.25878,0.25878,0.060288,0.045574,0.017225,0.0099046,1.1656,1.9234,0.27994,0.15868,1.0015,0.93263,2023-05-31
TMP,Control,D5,2023-06-27T15:59:00Z,TMP_C_D5_20230627,0.01442,0.9968,0.018627,0.99973,0.77412,5.4503,1.6468,0.9042,0.63198,0.64128,0.28471,0.27727,0.27727,0.067903,0.052237,0.02107,0.013384,1.1337,1.6671,0.30693,0.17813,0.92084,0.83768,2023-06-23
TMP,Control,E3,2023-06-28T19:48:00Z,TMP_C_E3_20230628,0.013908,0.99762,0.018093,0.9997,0.76873,5.1279,1.5593,0.93434,0.54953,0.55548,0.34458,0.33586,0.33586,0.086792,0.067197,0.027779,0.017876,1.4143,2.1233,0.31495,0.16201,1.2009,1.0274,2023-06-23
TMP,Control,F6,2023-06-28T19:04:00Z,TMP_C_F6_20230628,0.014018,0.99887,0.01813,0.99983,0.77322,5.225,1.6044,0.92018,0.56114,0.57222,0.52993,0.51597,0.51597,0.13136,0.10142,0.041989,0.026467,1.9971,3.0028,0.48916,0.28869,1.6603,1.5137,2023-06-23
TMP,Control,H3,2023-06-28T18:33:00Z,TMP_C_H3_20230628,0.014879,0.99878,0.020086,0.99959,0.74079,5.8097,1.5604,0.93692,0.54051,0.55586,0.57567,0.56037,0.56037,0.13111,0.099088,0.036875,0.021764,2.1779,3.3422,0.45974,0.23733,1.8467,1.5868,2023-06-23
TMP,Control,H6,2023-06-12T14:22:00Z,TMP_C_H6_20230612,0.014075,0.99666,0.018058,0.99985,0.77944,5.2381,1.4954,0.91044,0.54089,0.55008,0.51288,0.49963,0.49963,0.12699,0.097912,0.040953,0.027043,1.8203,2.9795,0.50221,0.31348,1.5304,1.3446,2023-06-08
TMP,Control,H6,2023-06-28T18:54:00Z,TMP_C_H6_20230628,0.013577,0.99925,0.018313,0.99979,0.74137,5.032,1.5231,0.934,0.52475,0.54259,0.70088,0.68351,0.68351,0.18063,0.13928,0.057093,0.035922,2.243,3.5724,0.51194,0.28172,1.84,1.7505,2023-06-23
TMP,Control,H6,2023-07-07T15:42:00Z,TMP_C_H6_20230707,0.014177,0.99926,0.018954,0.9998,0.74793,5.3423,1.4909,0.92661,0.52763,0.53766,0.67697,0.66025,0.66025,0.1658,0.12672,0.050599,0.031608,2.3542,3.7784,0.61275,0.38728,1.944,1.7837,2023-07-05
TMP,Control,H6,2023-07-10T16:55:00Z,TMP_C_H6_20230710,0.014657,0.99854,0.019569,0.99965,0.749,5.535,1.5662,0.89666,0.58378,0.59903,0.6572,0.64085,0.64085,0.15606,0.11874,0.045697,0.028243,2.2684,3.4707,0.66397,0.37724,1.8252,1.6965,2023-07-07
