date,Project,plot,grid,sample_name,evacuation_datetime,collection_datetime,tz,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
2024-06-24,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20240624,2024-06-21T18:57:00Z,2024-06-24T17:05:00Z,EDT,4.969,6.704,NPOC checks out of range,TN r2 low; TN checks out of range; value above cal curve
2024-06-24,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20240624,2024-06-21T19:10:00Z,2024-06-24T17:29:00Z,EDT,7.708,16.18,NPOC checks out of range,TN r2 low; TN checks out of range; value above cal curve
2024-07-15,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20240715,2024-07-11T17:46:00Z,2024-07-15T19:24:00Z,EDT,5.321,0.121,NPOC checks out of range,TN r2 low; TN checks out of range; blank is > 25% of sample value
2024-08-08,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20240808,2024-08-05T16:19:00Z,2024-08-08T15:18:00Z,EDT,28.77,4.368,NA,value above cal curve
2024-08-05,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20240805,2024-08-02T18:36:00Z,2024-08-05T17:44:00Z,EDT,10.8,0.6228,NA,NA
2024-08-02,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240802,2024-07-30T15:27:00Z,2024-08-02T18:22:00Z,EDT,8.801,1.031,NA,NA
2024-08-05,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240805,2024-08-02T18:22:00Z,2024-08-05T17:53:00Z,EDT,9.924,0.6386,NA,NA
2024-08-02,COMPASS: TEMPEST,Saltwater,D5,SW_D5_DOC_20240802,2024-07-30T15:34:00Z,2024-08-02T18:43:00Z,EDT,4.006,0.4656,NA,NA
2024-08-05,COMPASS: TEMPEST,Saltwater,D5,SW_D5_DOC_20240805,2024-08-02T18:43:00Z,2024-08-05T17:30:00Z,EDT,6.315,0.4707,NA,NA
2024-08-02,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20240802,2024-07-30T15:36:00Z,2024-08-02T18:53:00Z,EDT,4.719,0.4649,NA,NA
2024-08-08,COMPASS: TEMPEST,Saltwater,H3,SW_H3_DOC_20240808,2024-08-05T17:02:00Z,2024-08-08T16:46:00Z,EDT,6.53,0.4862,NA,NA
2024-08-08,COMPASS: TEMPEST,Saltwater,H6,SW_H6_DOC_20240808,2024-08-05T16:54:00Z,2024-08-08T16:25:00Z,EDT,9.555,0.6142,NA,NA
2024-08-08,COMPASS: TEMPEST,Saltwater,I5,SW_I5_DOC_20240808,2024-08-05T16:56:00Z,2024-08-08T16:35:00Z,EDT,11.67,0.8969,NA,NA
2024-08-12,COMPASS: TEMPEST,Saltwater,C6,SW_C6_DOC_20240812,2024-08-08T16:00:00Z,2024-08-12T17:15:00Z,EDT,11.55,2.097,NA,NA
2024-08-12,COMPASS: TEMPEST,Saltwater,E3,SW_E3_DOC_20240812,2024-08-08T17:02:00Z,2024-08-12T17:40:00Z,EDT,4.861,0.3165,NA,NA
2024-09-06,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240906,2024-09-03T16:00:00Z,2024-09-06T18:15:00Z,EDT,9.329,0.6664,NPOC checks out of range,NA
2024-09-06,COMPASS: TEMPEST,Saltwater,D5,SW_D5_DOC_20240906,2024-09-03T16:10:00Z,2024-09-06T18:40:00Z,EDT,5.781,0.2683,NPOC checks out of range,blank is < 25% of sample value
2024-09-06,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20240906,2024-09-03T16:13:00Z,2024-09-06T18:51:00Z,EDT,6.013,0.353,NPOC checks out of range,NA
NA,NA,NA,NA,NA,NA,NA,NA,68.83,NA,NPOC checks out of range,"TN broken, no data"
NA,NA,NA,NA,NA,NA,NA,NA,27.44,NA,NPOC checks out of range,"TN broken, no data"
NA,NA,NA,NA,NA,NA,NA,NA,31.81,NA,NPOC checks out of range,"TN broken, no data"
NA,NA,NA,NA,NA,NA,NA,NA,29.69,NA,NPOC checks out of range,"TN broken, no data"
NA,NA,NA,NA,NA,NA,NA,NA,15.02,NA,NPOC checks out of range,"TN broken, no data"
