date,site,plot,grid,sample_name,evacuation_datetime,collection_datetime,tz,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
2022-05-18,TMP,Control,F4,TMP_C_F4_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,8.13,0.47,NA,NA
2022-05-18,TMP,Control,H6,TMP_C_H6_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,13.92,0.47,NA,NA
2022-05-18,TMP,Control,D5,TMP_C_D5_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,18.36,0.66,NA,NA
2022-05-18,TMP,Freshwater,C3,TMP_FW_C3_20220518,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,7.01,0.33,NA,NA
2022-05-18,TMP,Freshwater,E3,TMP_FW_E3_20220518,2022-05-12T15:59:00Z,2022-05-18T15:59:00Z,EDT,13.84,0.6,NA,NA
2022-05-18,TMP,Control,B4,TMP_C_B4_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,18.19,NA,average value of multiple aliquots,replicates greater than 25% different
2022-05-18,TMP,Control,B4,TMP_C_B4_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,18.19,NA,average value of multiple aliquots,replicates greater than 25% different
2022-05-18,TMP,Control,C6,TMP_C_C6_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,9.235,0.365,average value of multiple aliquots,average value of multiple aliquots
2022-05-18,TMP,Control,C6,TMP_C_C6_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,9.235,0.365,average value of multiple aliquots,average value of multiple aliquots
2022-05-18,TMP,Control,E3,TMP_C_E3_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,9.879999999999999,0.5349999999999999,average value of multiple aliquots,average value of multiple aliquots
2022-05-18,TMP,Control,E3,TMP_C_E3_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,9.879999999999999,0.5349999999999999,average value of multiple aliquots,average value of multiple aliquots
2022-05-18,TMP,Control,F6,TMP_C_F6_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,7.459999999999999,0.335,average value of multiple aliquots,average value of multiple aliquots
2022-05-18,TMP,Control,F6,TMP_C_F6_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,7.459999999999999,0.335,average value of multiple aliquots,average value of multiple aliquots
2022-05-18,TMP,Control,H3,TMP_C_H3_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,replicates greater than 25% different,replicates greater than 25% different
2022-05-18,TMP,Control,H3,TMP_C_H3_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,NA,NA,replicates greater than 25% different,replicates greater than 25% different
2022-05-18,TMP,Control,I5,TMP_C_I5_20220518,2022-05-13T15:59:00Z,2022-05-18T15:59:00Z,EDT,9.385,NA,average value of multiple aliquots,replicates greater than 25% different
