Event,plot,grid,sample_name,doc_mg_l,tdn_mg_l,evacuation_date,collection_datetime,tz
TMP,Control,C6,TMP_C_C6_20230202,8.27,0.27,2023-01-30,2023-02-02T16:17:00Z,EST
TMP,Control,H3,TMP_C_H3_20230206,14.7,0.42,2023-02-02,2023-02-06T15:35:00Z,EST
TMP,Control,H6,TMP_C_H6_20230202,11.4,0.39,2023-01-30,2023-02-02T16:17:00Z,EST
TMP,Control,D5,TMP_C_D5_20230202,7.77,0.29,2023-01-30,2023-02-02T16:17:00Z,EST
TMP,Control,E3,TMP_C_E3_20230202,8.63,0.3,2023-01-30,2023-02-02T16:17:00Z,EST
TMP,Control,F6,TMP_C_F6_20230202,14.28,0.47,2023-01-30,2023-02-02T16:17:00Z,EST
TMP,Control,I5,TMP_C_I5_20230202,14.91,0.41,2023-01-30,2023-02-02T16:17:00Z,EST
TMP,Freshwater,C3,TMP_FW_C3_20230202,12.3,0.48,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Freshwater,C6,TMP_FW_C6_20230202,7.2,0.39,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Freshwater,H3,TMP_FW_H3_20230202,8.89,0.34,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Freshwater,H6,TMP_FW_H6_20230202,11.86,1.71,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Freshwater,B4,TMP_FW_B4_20230202,11.29,0.49,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Freshwater,D5,TMP_FW_D5_20230202,10.41,0.35,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Freshwater,E3,TMP_FW_E3_20230206,10.96,1.31,2023-02-02,2023-02-06T16:08:00Z,EST
TMP,Freshwater,F6,TMP_FW_F6_20230202,13.77,0.64,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Freshwater,I5,TMP_FW_I5_20230202,13.09,0.58,2023-01-30,2023-02-02T20:30:00Z,EST
TMP,Estuarine-water,C3,TMP_SW_C3_20230202,45.24,1.47,2023-01-30,2023-02-02T17:30:00Z,EST
TMP,Estuarine-water,C6,TMP_SW_C6_20230202,39.86,1.82,2023-01-30,2023-02-02T17:30:00Z,EST
TMP,Estuarine-water,F4,TMP_SW_F4_20230202,20.21,1.72,2023-01-30,2023-02-02T17:30:00Z,EST
TMP,Estuarine-water,H3,TMP_SW_H3_20230206,24.3,0.95,2023-02-02,2023-02-06T15:55:00Z,EST
TMP,Estuarine-water,H6,TMP_SW_H6_20230202,19.65,0.76,2023-01-30,2023-02-02T17:30:00Z,EST
TMP,Estuarine-water,B4,TMP_SW_B4_20230202,42.47,1.11,2023-01-30,2023-02-02T17:30:00Z,EST
TMP,Estuarine-water,D5,TMP_SW_D5_20230202,52.63,1.54,2023-01-30,2023-02-02T17:30:00Z,EST
TMP,Estuarine-water,E3,TMP_SW_E3_20230202,40.1,1.33,2023-01-30,2023-02-02T17:30:00Z,EST
TMP,Estuarine-water,F6,TMP_SW_F6_20230202,42.55,1.45,2023-01-30,2023-02-02T17:30:00Z,EST
TMP,Estuarine-water,I5,TMP_SW_I5_20230206,85.4,3.13,2023-02-02,2023-02-06T15:55:00Z,EST
TMP,Control,I5,TMP_C_I5_20230417,15.83,0.82,2023-04-14,2023-04-17T12:55:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230417,12.12,0.47,2023-04-14,2023-04-17T13:02:00Z,EDT
TMP,Control,H3,TMP_C_H3_20230417,17.32,0.73,2023-04-14,2023-04-17T12:50:00Z,EDT
TMP,Control,C6,TMP_C_C6_20230417,8.4,0.34,2023-04-14,2023-04-17T13:25:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230417,13.39,0.59,2023-04-14,2023-04-17T14:55:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230417,12.89,0.6,2023-04-14,2023-04-17T15:23:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230417,10.7,0.37,2023-04-14,2023-04-17T15:01:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230417,12.43,0.47,2023-04-14,2023-04-17T15:17:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230417,8.59,0.32,2023-04-14,2023-04-17T15:11:00Z,EDT
TMP,Freshwater,C6,TMP_FW_C6_20230417,12.22,2.54,2023-04-14,2023-04-17T14:44:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20230417,42.05,1.4,2023-04-14,2023-04-17T14:06:00Z,EDT
TMP,Estuarine-water,C6,TMP_SW_C6_20230417,34.28,1.19,2023-04-14,2023-04-17T13:54:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230417,49.13,1.19,2023-04-14,2023-04-17T13:49:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230417,58,1.72,2023-04-14,2023-04-17T14:01:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230417,42.35,1.35,2023-04-14,2023-04-17T14:16:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230417,53.19,1.59,2023-04-14,2023-04-17T13:38:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20230417,36.41,1.08,2023-04-14,2023-04-17T15:59:00Z,EDT
TMP,Control,I5,TMP_C_I5_20230515,15.39,0.48,2023-05-12,2023-05-15T16:25:00Z,EDT
TMP,Control,F6,TMP_C_F6_20230515,15.58,0.41,2023-05-12,2023-05-15T16:50:00Z,EDT
TMP,Control,E3,TMP_C_E3_20230515,9.92,0.48,2023-05-12,2023-05-15T18:46:00Z,EDT
TMP,Control,C6,TMP_C_C6_20230515,9.93,0.32,2023-05-12,2023-05-15T19:02:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230515,14.55,0.5,2023-05-12,2023-05-15T16:32:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230515,14.55,0.5,2023-05-12,2023-05-15T16:32:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20230515,7.94,0.27,2023-05-12,2023-05-15T20:45:00Z,EDT
TMP,Freshwater,C6,TMP_FW_C6_20230515,7.45,0.34,2023-05-12,2023-05-15T20:28:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230515,11.23,0.35,2023-05-12,2023-05-15T20:37:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230515,11.23,0.35,2023-05-12,2023-05-15T20:37:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230515,11.96,0.42,2023-05-12,2023-05-15T21:26:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230515,11.96,0.42,2023-05-12,2023-05-15T21:26:00Z,EDT
TMP,Freshwater,E3,TMP_FW_E3_20230515,6.88,0.26,2023-05-12,2023-05-15T17:17:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230515,12.36,0.52,2023-05-12,2023-05-15T21:34:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230515,7.51,0.29,2023-05-12,2023-05-15T20:55:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230515,9.76,0.68,2023-05-12,2023-05-15T21:15:00Z,EDT
TMP,Freshwater,F6,TMP_FW_F6_20230515,14.77,0.37,2023-05-12,2023-05-15T21:46:00Z,EDT
TMP,Freshwater,F6,TMP_FW_F6_20230515,14.77,0.37,2023-05-12,2023-05-15T21:46:00Z,EDT
TMP,Estuarine-water,F6,TMP_SW_F6_20230515,50.96,1.67,2023-05-12,2023-05-15T19:59:00Z,EDT
TMP,Estuarine-water,H3,TMP_SW_H3_20230515,24.18,0.84,2023-05-12,2023-05-15T20:05:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230515,50.34,2.75,2023-05-12,2023-05-15T19:11:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230515,53.12,1.41,2023-05-12,2023-05-15T19:37:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20230515,27.36,0.67,2023-05-12,2023-05-15T20:15:00Z,EDT
TMP,Control,I5,TMP_C_I5_20230603,20.45,0.44,2023-05-31,2023-06-03T18:00:00Z,EDT
TMP,Control,H6,TMP_C_H6_20230603,24.67,0.53,2023-05-31,2023-06-03T18:15:00Z,EDT
TMP,Control,C6,TMP_C_C6_20230603,21.48,0.32,2023-05-31,2023-06-03T18:41:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230603,10.05,0.36,2023-05-31,2023-06-03T19:52:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230603,11.05,0.4,2023-05-31,2023-06-03T20:09:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230605,5.19,0.2,2023-06-03,2023-06-05T15:59:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230603,67.48,1.45,2023-05-31,2023-06-03T19:06:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20230606,5.93,0.67,2023-06-05,2023-06-06T20:30:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230606,4.16,0.19,2023-06-05,2023-06-06T22:00:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230606,4.44,0.24,2023-06-05,2023-06-06T21:45:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230606,5.71,0.28,2023-06-05,2023-06-06T21:16:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230606,5.95,0.25,2023-06-05,2023-06-06T20:50:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230606_0800,7.44,0.3,2023-06-05,2023-06-06T21:16:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230607_0800,6.18,0.31,2023-06-07,2023-06-07T21:34:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230607_0800,6.18,0.31,2023-06-06,2023-06-07T13:02:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230607_0800,7.46,0.46,2023-06-07,2023-06-07T21:04:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230607_0800,7.46,0.46,2023-06-06,2023-06-07T12:01:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230607_0800,4.69,0.23,2023-06-07,2023-06-07T20:54:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230607_0800,4.69,0.23,2023-06-06,2023-06-07T12:27:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230607_0800,8.28,0.41,2023-06-07,2023-06-07T20:43:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230607_0800,8.28,0.41,2023-06-06,2023-06-07T12:15:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230607_0800,7.08,0.24,2023-06-07,2023-06-07T22:05:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230607_0800,7.08,0.24,2023-06-06,2023-06-07T13:21:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230607_1600,5.98,0.24,2023-06-07,2023-06-07T22:05:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230607_1600,5.98,0.24,2023-06-06,2023-06-07T13:21:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230607_1600,8.16,0.54,2023-06-07,2023-06-07T20:43:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230607_1600,8.16,0.54,2023-06-06,2023-06-07T12:15:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230607_1600,4.17,0.21,2023-06-07,2023-06-07T20:54:00Z,EDT
TMP,Freshwater,H3,TMP_FW_H3_20230607_1600,4.17,0.21,2023-06-06,2023-06-07T12:27:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230607_1600,4.08,0.18,2023-06-07,2023-06-07T21:04:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230607_1600,4.08,0.18,2023-06-06,2023-06-07T12:01:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230607_1600,4.65,0.2,2023-06-07,2023-06-07T21:54:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230607_1600,4.65,0.2,2023-06-06,2023-06-07T12:40:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230607_1600,4.51,0.19,2023-06-07,2023-06-07T21:34:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230607_1600,4.51,0.19,2023-06-06,2023-06-07T13:02:00Z,EDT
TMP,Freshwater,B4,TMP_FW_B4_20230607_1600,4.75,0.26,2023-06-07,2023-06-07T21:23:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230606,4.14,0.29,2023-06-05,2023-06-06T21:48:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230606,3.77,0.28,2023-06-05,2023-06-06T20:58:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230606,8.3,0.4,2023-06-05,2023-06-06T20:19:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230607_0800,6.15,0.37,2023-06-07,2023-06-07T21:33:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230607_0800,6.15,0.37,2023-06-06,2023-06-07T12:51:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230607_0800,4.18,0.29,2023-06-07,2023-06-07T21:23:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230607_0800,4.18,0.29,2023-06-06,2023-06-07T13:02:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230607_0800,3.87,0.28,2023-06-07,2023-06-07T21:11:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230607_0800,3.87,0.28,2023-06-06,2023-06-07T13:25:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230607_0800,3.82,0.29,2023-06-07,2023-06-07T21:03:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230607_0800,3.82,0.29,2023-06-06,2023-06-07T12:32:00Z,EDT
TMP,Estuarine-water,I5,TMP_SW_I5_20230607_1600,11.37,0.72,2023-06-07,2023-06-07T20:45:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230607_1600,3.79,0.25,2023-06-07,2023-06-07T21:03:00Z,EDT
TMP,Estuarine-water,E3,TMP_SW_E3_20230607_1600,3.79,0.25,2023-06-06,2023-06-07T12:32:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230607_1600,4.27,0.36,2023-06-07,2023-06-07T21:23:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230607_1600,4.27,0.36,2023-06-06,2023-06-07T13:02:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230607_1600,5.71,0.34,2023-06-07,2023-06-07T21:33:00Z,EDT
TMP,Estuarine-water,C3,TMP_SW_C3_20230607_1600,5.71,0.34,2023-06-06,2023-06-07T12:51:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230607_1600,4.04,0.32,2023-06-07,2023-06-07T21:11:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230607_1600,4.04,0.32,2023-06-06,2023-06-07T13:25:00Z,EDT
TMP,Freshwater,C3,TMP_FW_C3_20230608,4.95,0.27,2023-06-07,2023-06-08T20:13:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230608,6.64,0.49,2023-06-07,2023-06-08T19:28:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230608,5.88,0.27,2023-06-07,2023-06-08T19:55:00Z,EDT
TMP,Freshwater,F4,TMP_FW_F4_20230608,5.57,0.28,2023-06-07,2023-06-08T20:32:00Z,EDT
TMP,Freshwater,H6,TMP_FW_H6_20230608,8.49,0.4,2023-06-07,2023-06-08T19:43:00Z,EDT
TMP,Freshwater,D5,TMP_FW_D5_20230612,6.77,0.3,2023-06-08,2023-06-12T13:44:00Z,EDT
TMP,Freshwater,I5,TMP_FW_I5_20230612,8.2,0.39,2023-06-08,2023-06-12T14:09:00Z,EDT
TMP,Estuarine-water,D5,TMP_SW_D5_20230608,4.2,0.34,2023-06-07,2023-06-08T18:35:00Z,EDT
TMP,Estuarine-water,H6,TMP_SW_H6_20230608,4.39,0.39,2023-06-07,2023-06-08T17:49:00Z,EDT
TMP,Estuarine-water,B4,TMP_SW_B4_20230608,5.01,0.37,2023-06-07,2023-06-08T18:15:00Z,EDT
