[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 5:07:54 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	DI	Untitled					0.2528	0.01925	mg/L	0	7/18/2024 5:34:59 PM	
Unknown	NPOC/TN	DI	Untitled					0.08872	0.00219	mg/L	0	7/18/2024 5:56:28 PM	
Unknown	NPOC/TN	DI	Untitled					0.1139	0.00385	mg/L	0	7/18/2024 6:17:24 PM	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled					0.8410	1.080	mg/L	1	7/18/2024 6:42:54 PM	
Unknown	NPOC/TN	DI	Untitled					0.00718	0.00418	mg/L	0	7/18/2024 7:03:41 PM	
Standard	NPOC	CalCurve_NPOC	Untitled					100.0		mg/L	2, 3, 4, 5, 6, 7, 8, 9	7/18/2024 9:52:29 PM	
Unknown	NPOC/TN	DI	Untitled					0.3303	-0.00345	mg/L	0	7/18/2024 10:12:40 PM	
Standard	TN	CalCurve_TN	Untitled						3.000	mg/L	10, 11, 12, 13, 14, 15, 16	7/19/2024 12:32:59 AM	
Unknown	NPOC/TN	DI	Untitled					0.5286	0.09847	mg/L	0	7/19/2024 12:53:36 AM	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled					1.496	11.92	mg/L	17	7/19/2024 1:19:00 AM	
Unknown	NPOC/TN	DI	Untitled					0.5679	0.06085	mg/L	0	7/19/2024 1:38:12 AM	
Unknown	NPOC/TN	TMP_SW_B4_20240624	Untitled					4.969	6.704	mg/L	18	7/19/2024 1:59:07 AM	
Unknown	NPOC/TN	TMP_FW_C6_20240624	Untitled					7.708	16.18	mg/L	19	7/19/2024 2:25:13 AM	
Unknown	NPOC/TN	TMP_SW_F6_20240715	Untitled					5.321	0.1210	mg/L	20	7/19/2024 2:48:20 AM	
Unknown	NPOC/TN	DI	Untitled					0.6256	0.3584	mg/L	0	7/19/2024 3:07:14 AM	
Unknown	NPOC/TN	LatT_GCW_ESTUARY1_LT_20240715_1730	Untitled					4.660	0.08814	mg/L	21	7/19/2024 3:31:23 AM	
Unknown	NPOC/TN	LatT_GCW_ESTUARY2_LT_20240715_1730	Untitled					4.634	0.07750	mg/L	22	7/19/2024 3:55:34 AM	
Unknown	NPOC/TN	LatT_GCW_ESTUARY3_LT_20240715_1730	Untitled					4.443	0.4164	mg/L	23	7/19/2024 4:18:46 AM	
Unknown	NPOC/TN	LatT_GCW_UP1-FW1_20240715_1500	Untitled					1.968	2.189	mg/L	24	7/19/2024 4:41:26 AM	
Unknown	NPOC/TN	LatT_GCW_UP2-FW1_20240715_1515	Untitled					1.318	1.258	mg/L	25	7/19/2024 5:03:55 AM	
Unknown	NPOC/TN	LatT_GCW_TR1_20240715_1530	Untitled					17.27	37.55	mg/L	26	7/19/2024 5:33:14 AM	
