[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 5:08:03 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 5:22:02 PM	1	1	NPOC	2.876	0.2535	NPOC:0.2528mg/L TN:0.01925mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 5:25:39 PM	1	2	NPOC	3.501	0.4043	NPOC:0.2528mg/L TN:0.01925mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 5:28:54 PM	1	3	NPOC	3.151	0.3199	NPOC:0.2528mg/L TN:0.01925mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 5:31:58 PM	1	4	NPOC	2.847	0.2466	NPOC:0.2528mg/L TN:0.01925mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 5:34:59 PM	1	5	NPOC	2.896	0.2584	NPOC:0.2528mg/L TN:0.01925mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 5:22:02 PM	1	1	TN	0.1787	0.00872	NPOC:0.2528mg/L TN:0.01925mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 5:25:39 PM	1	2	TN	0.6722	0.06457	NPOC:0.2528mg/L TN:0.01925mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 5:28:54 PM	1	3	TN	0.3076	0.02331	NPOC:0.2528mg/L TN:0.01925mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240702.2024_07_04_01_51_34.cal	1.00		7/18/2024 5:31:58 PM	1	4	TN	0.3290	0.02573	NPOC:0.2528mg/L TN:0.01925mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 5:41:43 PM	1	1	NPOC	2.201	0.09073	NPOC:0.08872mg/L TN:0.00219mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240702.2024_07_03_22_45_00.cal	1.00		7/18/2024 5:44:45 PM	1	2	NPOC	2.417	0.1428	NPOC:0.08872mg/L TN:0.00219mg/L	1	50	
