[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	9/18/2024 8:39:09 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 11:33:17 AM	1	1	NPOC	2.495	0.4300	NPOC:0.4347mg/L TN:0.00845mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 11:37:29 AM	1	2	NPOC	2.566	0.4430	NPOC:0.4347mg/L TN:0.00845mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 11:40:59 AM	1	3	NPOC	2.250	0.3851	NPOC:0.4347mg/L TN:0.00845mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 11:45:02 AM	1	4	NPOC	2.698	0.4671	NPOC:0.4347mg/L TN:0.00845mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 11:48:26 AM	1	5	NPOC	2.502	0.4313	NPOC:0.4347mg/L TN:0.00845mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 11:33:17 AM	1	1	TN	0.2346	0.00909	NPOC:0.4347mg/L TN:0.00845mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 11:37:29 AM	1	2	TN	0.5540	0.04782	NPOC:0.4347mg/L TN:0.00845mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 11:40:59 AM	1	3	TN	0.4474	0.03489	NPOC:0.4347mg/L TN:0.00845mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 11:45:02 AM	1	4	TN	0.3263	0.02021	NPOC:0.4347mg/L TN:0.00845mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 11:48:26 AM	1	5	TN	0.1271	-0.00395	NPOC:0.4347mg/L TN:0.00845mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 11:56:01 AM	1	1	NPOC	2.118	0.3609	NPOC:0.3870mg/L TN:0.03582mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 11:59:28 AM	1	2	NPOC	2.424	0.4170	NPOC:0.3870mg/L TN:0.03582mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 12:03:31 PM	1	3	NPOC	1.874	0.3163	NPOC:0.3870mg/L TN:0.03582mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 12:06:50 PM	1	4	NPOC	2.655	0.4593	NPOC:0.3870mg/L TN:0.03582mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 12:10:12 PM	1	5	NPOC	2.239	0.3831	NPOC:0.3870mg/L TN:0.03582mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 11:56:01 AM	1	1	TN	0.3770	0.02636	NPOC:0.3870mg/L TN:0.03582mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 11:59:28 AM	1	2	TN	0.4881	0.03983	NPOC:0.3870mg/L TN:0.03582mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 12:03:31 PM	1	3	TN	0.5000	0.04127	NPOC:0.3870mg/L TN:0.03582mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 12:17:25 PM	1	1	NPOC	2.085	0.3549	NPOC:0.3708mg/L TN:-0.01193mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 12:21:15 PM	1	2	NPOC	1.690	0.2826	NPOC:0.3708mg/L TN:-0.01193mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 12:24:43 PM	1	3	NPOC	2.178	0.3719	NPOC:0.3708mg/L TN:-0.01193mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 12:28:16 PM	1	4	NPOC	2.253	0.3857	NPOC:0.3708mg/L TN:-0.01193mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 12:17:25 PM	1	1	TN	0.2941	0.01630	NPOC:0.3708mg/L TN:-0.01193mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 12:21:15 PM	1	2	TN	0.000	-0.01936	NPOC:0.3708mg/L TN:-0.01193mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 12:24:43 PM	1	3	TN	0.1838	0.00293	NPOC:0.3708mg/L TN:-0.01193mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 12:28:16 PM	1	4	TN	0.8051	0.07827	NPOC:0.3708mg/L TN:-0.01193mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240827.2024_08_29_02_27_33.cal	1.00		9/5/2024 12:34:08 PM	1	5	TN	0.000	-0.01936	NPOC:0.3708mg/L TN:-0.01193mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 12:44:11 PM	1	1	NPOC	5.552	0.9897	NPOC:1.099mg/L TN:0.9738mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20240827.2024_08_28_23_28_40.cal	1.00		9/5/2024 12:49:31 PM	1	2	NPOC	5.902	1.054	NPOC:1.099mg/L TN:0.9738mg/L	0	50	
