[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 4:57:23 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	DI	DI					-0.2860	0.00409	mg/L	0	8/5/2024 9:59:37 AM	
Unknown	NPOC/TN	DI	DI					-0.3410	-0.02670	mg/L	0	8/5/2024 10:18:11 AM	
Standard	NPOC	NPOC Cal	Untitled					60.00		mg/L	0, 1, 2, 3, 4, 5, 6	8/5/2024 12:40:42 PM	
Unknown	NPOC/TN	DI	DI					-0.3732	-0.02220	mg/L	0	8/5/2024 1:02:53 PM	
Unknown	NPOC/TN	DI	DI					-0.2790	-0.01591	mg/L	0	8/5/2024 1:45:37 PM	
Standard	TN	TN Cal	Untitled						10.00	mg/L	0, 7, 8, 9, 10, 11, 12	8/5/2024 4:27:03 PM	
Unknown	NPOC/TN	DI	DI					-0.3237	0.06952	mg/L	0	8/5/2024 4:54:37 PM	
Unknown	NPOC/TN	DI	DI					-0.3151	0.07485	mg/L	0	8/5/2024 5:19:13 PM	
Unknown	NPOC/TN	Std Chk	DI					29.65	2.511	mg/L	13	8/5/2024 5:47:48 PM	
Unknown	NPOC/TN	DI	DI					-0.3202	0.06593	mg/L	0	8/5/2024 6:12:31 PM	
Unknown	NPOC/TN	DI	DI					-0.2648	0.06403	mg/L	0	8/5/2024 6:27:06 PM	
Unknown	NPOC/TN	DI	DI					-0.3362	0.06403	mg/L	0	8/5/2024 6:49:39 PM	
Unknown	NPOC/TN	DI	DI					-0.3144	0.06993	mg/L	0	8/5/2024 7:11:49 PM	
Unknown	NPOC/TN	4.000.4.33.01	PDX CURB BDOC					0.02222	0.09007	mg/L	14	8/5/2024 7:44:18 PM	
Unknown	NPOC/TN	4.000.4.33.02	PDX CURB BDOC					-0.03539	0.08366	mg/L	15	8/5/2024 8:04:24 PM	
Unknown	NPOC/TN	4.000.4.33.03	PDX CURB BDOC					0.03629	0.08425	mg/L	16	8/5/2024 8:28:23 PM	
Unknown	NPOC/TN	4.000.4.33.04	PDX CURB BDOC					-0.1560	0.1282	mg/L	17	8/5/2024 8:51:47 PM	
Unknown	NPOC/TN	4.000.4.33.05	PDX CURB BDOC					-0.1154	0.1753	mg/L	18	8/5/2024 9:14:56 PM	
Unknown	NPOC/TN	4.000.4.33.06	PDX CURB BDOC					-0.1079	0.1614	mg/L	19	8/5/2024 9:41:29 PM	
Unknown	NPOC/TN	4.004.4.33.01	PDX CURB BDOC					0.8524	0.2571	mg/L	20	8/5/2024 10:08:49 PM	
Unknown	NPOC/TN	4.004.4.33.02	PDX CURB BDOC					0.8603	0.3489	mg/L	21	8/5/2024 10:32:51 PM	
Unknown	NPOC/TN	4.004.4.33.03	PDX CURB BDOC					0.8858	0.1307	mg/L	22	8/5/2024 11:00:47 PM	
Unknown	NPOC/TN	4.004.4.33.04	PDX CURB BDOC					0.9159	0.3080	mg/L	23	8/5/2024 11:25:17 PM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.3942	0.06452	mg/L	0	8/5/2024 11:43:43 PM	
Unknown	NPOC/TN	Std Chk	PDX CURB BDOC					29.96	2.445	mg/L	24	8/6/2024 12:14:06 AM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.3466	0.06838	mg/L	0	8/6/2024 12:35:20 AM	
Unknown	NPOC/TN	4.004.4.33.05	PDX CURB BDOC					0.9415	0.2422	mg/L	25	8/6/2024 1:00:02 AM	
Unknown	NPOC/TN	4.004.4.33.06	PDX CURB BDOC					0.8691	0.2687	mg/L	26	8/6/2024 1:23:49 AM	
Unknown	NPOC/TN	4.005.4.33.01	PDX CURB BDOC					1.645	1.384	mg/L	27	8/6/2024 1:47:13 AM	
Unknown	NPOC/TN	4.005.4.33.02	PDX CURB BDOC					1.764	1.273	mg/L	28	8/6/2024 2:17:17 AM	
Unknown	NPOC/TN	4.005.4.33.03	PDX CURB BDOC					1.705	1.267	mg/L	29	8/6/2024 2:46:37 AM	
Unknown	NPOC/TN	4.006.4.33.01	PDX CURB BDOC					2.830	0.8811	mg/L	30	8/6/2024 3:14:30 AM	
Unknown	NPOC/TN	4.006.4.33.02	PDX CURB BDOC					2.748	0.8266	mg/L	31	8/6/2024 3:41:48 AM	
Unknown	NPOC/TN	4.006.4.33.03	PDX CURB BDOC					2.608	0.9656	mg/L	32	8/6/2024 4:10:39 AM	
Unknown	NPOC/TN	4.008.4.33.01	PDX CURB BDOC					1.754	1.200	mg/L	33	8/6/2024 4:33:49 AM	
Unknown	NPOC/TN	4.008.4.33.01 dup	PDX CURB BDOC					1.752	1.202	mg/L	34	8/6/2024 4:52:23 AM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.3018	0.06923	mg/L	0	8/6/2024 5:15:26 AM	
Unknown	NPOC/TN	Std Chk	PDX CURB BDOC					31.04	2.492	mg/L	35	8/6/2024 5:44:57 AM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.3293	0.06403	mg/L	0	8/6/2024 6:06:38 AM	
Unknown	NPOC/TN	4.008.4.33.02	PDX CURB BDOC					1.795	1.226	mg/L	36	8/6/2024 6:32:17 AM	
Unknown	NPOC/TN	4.008.4.33.03	PDX CURB BDOC					1.749	1.200	mg/L	37	8/6/2024 6:57:34 AM	
Unknown	NPOC/TN	4.008.4.33.04	PDX CURB BDOC					1.723	1.237	mg/L	38	8/6/2024 7:20:27 AM	
Unknown	NPOC/TN	4.008.4.33.05	PDX CURB BDOC					1.675	1.264	mg/L	39	8/6/2024 7:45:48 AM	
Unknown	NPOC/TN	4.008.4.33.06	PDX CURB BDOC					1.720	1.249	mg/L	40	8/6/2024 8:14:13 AM	
Unknown	NPOC/TN	4.009.4.33.01	PDX CURB BDOC					2.698	0.8565	mg/L	41	8/6/2024 8:40:39 AM	
Unknown	NPOC/TN	4.009.4.33.02	PDX CURB BDOC					2.686	0.8971	mg/L	42	8/6/2024 9:09:38 AM	
Unknown	NPOC/TN	4.009.4.33.03	PDX CURB BDOC					2.692	0.8671	mg/L	43	8/6/2024 9:37:19 AM	
Unknown	NPOC/TN	4.009.4.33.04	PDX CURB BDOC					2.727	0.8910	mg/L	44	8/6/2024 10:05:25 AM	
Unknown	NPOC/TN	4.009.4.33.05	PDX CURB BDOC					2.558	0.9538	mg/L	45	8/6/2024 10:23:07 AM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.3321	0.06403	mg/L	0	8/6/2024 10:45:50 AM	
