[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 4:57:44 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_07_08_10_58_47.cal	1.00		8/5/2024 9:42:08 AM	1	1	NPOC	1.221	-0.3000	NPOC:-0.2860mg/L TN:0.00409mg/L	0	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_07_08_10_58_47.cal	1.00		8/5/2024 9:45:53 AM	1	2	NPOC	1.299	-0.2813	NPOC:-0.2860mg/L TN:0.00409mg/L	0	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_07_08_10_58_47.cal	1.00		8/5/2024 9:49:38 AM	1	3	NPOC	1.318	-0.2768	NPOC:-0.2860mg/L TN:0.00409mg/L	0	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2024_07_08_14_55_16.cal	1.00		8/5/2024 9:42:08 AM	1	1	TN	0.000	-0.02670	NPOC:-0.2860mg/L TN:0.00409mg/L	1	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2024_07_08_14_55_16.cal	1.00		8/5/2024 9:45:53 AM	1	2	TN	0.2934	0.00682	NPOC:-0.2860mg/L TN:0.00409mg/L	0	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2024_07_08_14_55_16.cal	1.00		8/5/2024 9:49:38 AM	1	3	TN	0.000	-0.02670	NPOC:-0.2860mg/L TN:0.00409mg/L	1	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2024_07_08_14_55_16.cal	1.00		8/5/2024 9:55:52 AM	1	4	TN	0.3355	0.01163	NPOC:-0.2860mg/L TN:0.00409mg/L	0	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2024_07_08_14_55_16.cal	1.00		8/5/2024 9:59:37 AM	1	5	TN	0.1796	-0.00618	NPOC:-0.2860mg/L TN:0.00409mg/L	0	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_07_08_10_58_47.cal	1.00		8/5/2024 10:06:44 AM	1	1	NPOC	0.8606	-0.3863	NPOC:-0.3410mg/L TN:-0.02670mg/L	1	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_07_08_10_58_47.cal	1.00		8/5/2024 10:10:29 AM	1	2	NPOC	0.9883	-0.3557	NPOC:-0.3410mg/L TN:-0.02670mg/L	0	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_07_08_10_58_47.cal	1.00		8/5/2024 10:14:18 AM	1	3	NPOC	1.135	-0.3206	NPOC:-0.3410mg/L TN:-0.02670mg/L	0	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_07_08_10_58_47.cal	1.00		8/5/2024 10:18:11 AM	1	4	NPOC	1.026	-0.3467	NPOC:-0.3410mg/L TN:-0.02670mg/L	0	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2024_07_08_14_55_16.cal	1.00		8/5/2024 10:06:44 AM	1	1	TN	0.3159	0.00940	NPOC:-0.3410mg/L TN:-0.02670mg/L	1	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2024_07_08_14_55_16.cal	1.00		8/5/2024 10:10:29 AM	1	2	TN	0.000	-0.02670	NPOC:-0.3410mg/L TN:-0.02670mg/L	0	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2024_07_08_14_55_16.cal	1.00		8/5/2024 10:14:18 AM	1	3	TN	0.000	-0.02670	NPOC:-0.3410mg/L TN:-0.02670mg/L	0	50	
Unknown	NPOC/TN	DI	DI	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2024_07_08_14_55_16.cal	1.00		8/5/2024 10:18:11 AM	1	4	TN	0.000	-0.02670	NPOC:-0.3410mg/L TN:-0.02670mg/L	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 10:26:18 AM	1	1	NPOC	0.9700	0.000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 10:29:36 AM	1	2	NPOC	0.8465	0.000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 10:32:55 AM	1	3	NPOC	0.7310	0.000	 	1	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 10:36:14 AM	1	4	NPOC	1.038	0.000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 10:46:10 AM	2	1	NPOC	4.535	0.5000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 10:49:30 AM	2	2	NPOC	4.547	0.5000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 10:52:49 AM	2	3	NPOC	4.851	0.5000	 	1	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 10:56:08 AM	2	4	NPOC	4.511	0.5000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 11:05:39 AM	3	1	NPOC	8.518	1.000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 11:09:11 AM	3	2	NPOC	9.130	1.000	 	1	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 11:12:42 AM	3	3	NPOC	8.086	1.000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 11:16:06 AM	3	4	NPOC	8.592	1.000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 11:19:35 AM	3	5	NPOC	9.074	1.000	 	1	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 11:30:01 AM	4	1	NPOC	22.92	5.000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 11:33:44 AM	4	2	NPOC	22.68	5.000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 11:37:33 AM	4	3	NPOC	23.76	5.000	 	1	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 11:41:26 AM	4	4	NPOC	23.43	5.000	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 11:51:38 AM	5	1	NPOC	46.17	10.00	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 11:55:48 AM	5	2	NPOC	45.93	10.00	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 12:00:01 PM	5	3	NPOC	46.27	10.00	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 12:11:20 PM	6	1	NPOC	130.3	30.00	 	0	50	
Standard	NPOC	NPOC Cal	Untitled	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_08_05_10_18_11.cal		1.00		8/5/2024 12:15:42 PM	6	2	NPOC	129.4	30.00	 	0	50	
