[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 4:50:04 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	DI	Untitled					6.006	0.09298	mg/L	0	10/8/2024 4:41:22 PM	
Unknown	NPOC/TN	DI	Untitled					5.295	0.1742	mg/L	0	10/8/2024 5:16:11 PM	
Unknown	NPOC/TN	DI	Untitled					4.987	0.09958	mg/L	0	10/8/2024 5:46:28 PM	
Unknown	NPOC/TN	DI	Untitled					2.914	0.04867	mg/L	0	10/8/2024 11:11:19 PM	
Unknown	NPOC/TN	DI	Untitled					3.118	0.05200	mg/L	0	10/8/2024 11:40:48 PM	
Unknown	NPOC/TN	DI	Untitled					2.421	0.07821	mg/L	0	10/9/2024 2:03:17 AM	
Unknown	NPOC/TN	DI	Untitled					2.330	0.1141	mg/L	0	10/9/2024 2:30:07 AM	
Unknown	NPOC/TN	DI	Untitled					1.791	0.03888	mg/L	0	10/9/2024 6:28:43 AM	
Unknown	NPOC/TN	DI	Untitled					1.706	0.07538	mg/L	0	10/9/2024 6:54:14 AM	
Unknown	NPOC/TN	DI	Untitled					1.676	0.08560	mg/L	0	10/9/2024 7:21:21 AM	
Unknown	NPOC/TN	DI	Untitled					1.681	0.06116	mg/L	0	10/9/2024 9:08:09 AM	
Unknown	NPOC/TN	DI	Untitled					1.611	0.07452	mg/L	0	10/9/2024 9:35:01 AM	
Unknown	NPOC/TN	DI	Untitled					1.468	0.04969	mg/L	0	10/9/2024 10:00:10 AM	
Unknown	NPOC/TN	DI	Untitled					1.295	0.05905	mg/L	0	10/9/2024 1:02:22 PM	
Unknown	NPOC/TN	DI	Untitled					1.245	0.05139	mg/L	0	10/9/2024 1:27:25 PM	
Unknown	NPOC/TN	DI	Untitled					0.9424	0.07280	mg/L	0	10/9/2024 6:31:16 PM	
Unknown	NPOC/TN	DI	Untitled					1.122	0.07607	mg/L	0	10/9/2024 6:56:47 PM	
Unknown	NPOC/TN	DI	Untitled					0.9060	0.05157	mg/L	0	10/9/2024 7:20:57 PM	
Unknown	NPOC/TN	DI	Untitled					0.9131	0.06362	mg/L	0	10/9/2024 7:45:22 PM	
Unknown	NPOC/TN	DI	Untitled					0.9441	0.06107	mg/L	0	10/9/2024 8:10:22 PM	
Unknown	NPOC/TN	DI	Untitled					0.8245	0.07084	mg/L	0	10/9/2024 8:34:49 PM	
Unknown	NPOC/TN	DI	Untitled					0.8532	0.05291	mg/L	0	10/9/2024 9:01:14 PM	
Unknown	NPOC/TN	DI	Untitled					0.7487	0.04798	mg/L	0	10/9/2024 9:24:53 PM	
Unknown	NPOC/TN	DI	Untitled					0.8863	0.07616	mg/L	0	10/9/2024 9:56:40 PM	
Unknown	NPOC/TN	DI	Untitled					0.8838	0.04510	mg/L	0	10/9/2024 10:21:58 PM	
Unknown	NPOC/TN	DI	Untitled					0.8075	0.05545	mg/L	0	10/9/2024 10:46:30 PM	
Unknown	NPOC/TN	DI	Untitled					0.7867	0.05678	mg/L	0	10/9/2024 11:10:28 PM	
Unknown	NPOC/TN	DI	Untitled					0.8098	0.06793	mg/L	0	10/9/2024 11:30:39 PM	
Unknown	NPOC/TN	DI	Untitled					0.7804	0.05008	mg/L	0	10/9/2024 11:55:31 PM	
Unknown	NPOC/TN	DI	Untitled					0.7429	0.04050	mg/L	0	10/10/2024 12:19:32 AM	
Unknown	NPOC/TN	DI	Untitled					0.7359	0.04718	mg/L	0	10/10/2024 12:44:00 AM	
Unknown	NPOC/TN	DI	Untitled					0.8228	0.04531	mg/L	0	10/10/2024 1:09:45 AM	
Unknown	NPOC/TN	DI	Untitled					0.7015	0.06304	mg/L	0	10/10/2024 1:34:14 AM	
Unknown	NPOC/TN	DI	Untitled					0.8718	0.1111	mg/L	0	10/10/2024 2:02:44 AM	
Unknown	NPOC/TN	DI	Untitled					0.7268	0.04473	mg/L	0	10/10/2024 2:27:09 AM	
Unknown	NPOC/TN	DI	Untitled					0.5903	0.06119	mg/L	0	10/10/2024 2:51:11 AM	
Unknown	NPOC/TN	DI	Untitled					0.6991	0.08553	mg/L	0	10/10/2024 3:15:15 AM	
Unknown	NPOC/TN	DI	Untitled					0.6797	0.06370	mg/L	0	10/10/2024 3:39:55 AM	
Unknown	NPOC/TN	Chk_Std_50CN	Untitled					4.228	0.1799	mg/L	1	10/10/2024 4:07:59 AM	
Unknown	NPOC/TN	DI	Untitled					0.6233	0.05904	mg/L	0	10/10/2024 4:31:32 AM	
Unknown	NPOC/TN	DI	Untitled					0.6683	0.04792	mg/L	0	10/10/2024 4:55:23 AM	
Standard	NPOC	CalCurve_NPOC	Untitled					100.0		mg/L	2, 3, 4, 5, 6, 7, 8, 9	10/10/2024 8:04:33 AM	
Unknown	NPOC/TN	DI	Untitled					0.4202	0.04379	mg/L	0	10/6/2024 6:35:50 PM	
Standard	TN	CalCurve_TN	Untitled						3.000	mg/L	10, 11, 12, 13, 14, 15, 16	10/10/2024 10:40:06 AM	
Unknown	NPOC/TN	DI	Untitled					0.2981	0.05088	mg/L	0	10/7/2024 11:18:26 AM	
Standard	NPOC	CalCurve_NPOC	Untitled					100.0		mg/L	2, 3, 4, 5, 6, 7, 8, 9	10/7/2024 2:25:58 PM	
Unknown	NPOC/TN	DI	Untitled					0.1493	-0.00353	mg/L	0	10/10/2024 11:10:18 AM	
Unknown	NPOC/TN	Chk_Std_50CN	Untitled					46.91	2.021	mg/L	17	10/10/2024 11:41:35 AM	
Unknown	NPOC/TN	DI	Untitled					0.2027	0.03538	mg/L	0	10/10/2024 12:11:35 PM	
Unknown	NPOC/TN	LatT_GWI_INCUB_T2-1	Untitled					2.670	0.3158	mg/L	18	10/10/2024 12:40:35 PM	
Unknown	NPOC/TN	LatT_GWI_INCUB_T2-2	Untitled					2.924	0.4280	mg/L	19	10/10/2024 1:09:37 PM	
Unknown	NPOC/TN	LatT_GWI_INCUB_T5-1	Untitled					2.891	0.3466	mg/L	20	10/10/2024 1:38:38 PM	
Unknown	NPOC/TN	LatT_GWI_INCUB_T5-2	Untitled					2.834	0.3524	mg/L	21	10/10/2024 2:05:22 PM	
Unknown	NPOC/TN	LatT_GWI_INCUB_T24	Untitled					6.093	0.5251	mg/L	22	10/10/2024 2:34:44 PM	
Unknown	NPOC/TN	LatT_GWI_INCUB_T29-1	Untitled					2.935	0.3640	mg/L	23	10/10/2024 3:04:19 PM	
Unknown	NPOC/TN	LatT_GWI_INCUB_T29-2	Untitled					2.679	0.3656	mg/L	24	10/10/2024 4:12:15 PM	
Unknown	NPOC/TN	LatT_GWI_INCUB_T29-2_dup	Untitled					2.738	0.3820	mg/L	25	10/10/2024 4:37:46 PM	
Unknown	NPOC/TN	Chk_Std_50CN	Untitled					46.95	1.892	mg/L	26	10/10/2024 5:06:03 PM	
Unknown	NPOC/TN	DI	Untitled					0.2434	0.05204	mg/L	0	10/10/2024 5:28:37 PM	
Unknown	NPOC/TN	202409_GCW_TR_LysA_20cm	Untitled					2.588	0.1089	mg/L	27	10/10/2024 5:56:39 PM	
Unknown	NPOC/TN	202409_GCW_TR_LysA_45cm	Untitled					4.946	0.5272	mg/L	28	10/10/2024 6:25:43 PM	
Unknown	NPOC/TN	202409_GCW_TR_LysB_10cm	Untitled					4.230	0.2595	mg/L	29	10/10/2024 6:54:21 PM	
Unknown	NPOC/TN	202409_GCW_TR_LysB_20cm	Untitled					2.644	0.8120	mg/L	30	10/10/2024 7:16:35 PM	
Unknown	NPOC/TN	202409_GCW_TR_LysB_45cm	Untitled					5.406	0.9040	mg/L	31	10/10/2024 7:47:25 PM	
Unknown	NPOC/TN	202409_GCW_TR_LysC_20cm	Untitled					2.417	0.1689	mg/L	32	10/10/2024 8:12:45 PM	
Unknown	NPOC/TN	202409_GCW_TR_LysC_45cm	Untitled					3.705	0.7279	mg/L	33	10/10/2024 8:41:02 PM	
Unknown	NPOC/TN	202409_GCW_WC_LysA_10cm	Untitled					12.77	0.9853	mg/L	34	10/10/2024 9:10:50 PM	
Unknown	NPOC/TN	202409_GCW_WC_LysA_20cm	Untitled					12.91	1.551	mg/L	35	10/10/2024 9:38:42 PM	
Unknown	NPOC/TN	202409_GCW_WC_LysA_45cm	Untitled					43.56	3.450	mg/L	36	10/10/2024 10:07:52 PM	
Unknown	NPOC/TN	202409_GCW_WC_LysB_10cm	Untitled					10.72	0.7509	mg/L	37	10/10/2024 10:36:58 PM	
Unknown	NPOC/TN	202409_GCW_WC_LysB_20cm	Untitled					11.28	1.759	mg/L	38	10/10/2024 11:07:27 PM	
