[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	12/18/2024 3:06:37 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20241126.2024_11_26_19_54_39.cal	1.00		12/17/2024 1:40:15 PM	1	1	NPOC	4.581	0.6981	NPOC:0.5851mg/L TN:-0.00964mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20241126.2024_11_26_19_54_39.cal	1.00		12/17/2024 1:45:22 PM	1	2	NPOC	244.4	63.10	NPOC:0.5851mg/L TN:-0.00964mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20241126.2024_11_26_19_54_39.cal	1.00		12/17/2024 1:49:16 PM	1	3	NPOC	3.189	0.3359	NPOC:0.5851mg/L TN:-0.00964mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20241126.2024_11_26_19_54_39.cal	1.00		12/17/2024 1:53:09 PM	1	4	NPOC	3.272	0.3575	NPOC:0.5851mg/L TN:-0.00964mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20241126.2024_11_26_19_54_39.cal	1.00		12/17/2024 1:56:57 PM	1	5	NPOC	4.587	0.6997	NPOC:0.5851mg/L TN:-0.00964mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 1:40:15 PM	1	1	TN	0.5621	0.02965	NPOC:0.5851mg/L TN:-0.00964mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 1:45:22 PM	1	2	TN	8.079	0.7141	NPOC:0.5851mg/L TN:-0.00964mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 1:49:16 PM	1	3	TN	0.05490	-0.01653	NPOC:0.5851mg/L TN:-0.00964mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 1:53:09 PM	1	4	TN	0.000	-0.02153	NPOC:0.5851mg/L TN:-0.00964mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20241129.2024_11_29_21_14_23.cal	1.00		12/17/2024 1:56:57 PM	1	5	TN	0.3368	0.00914	NPOC:0.5851mg/L TN:-0.00964mg/L	0	50	
