[Header]	
System	Smithsonian TCTN	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2024 9:12:07 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	Untitled	DI					0.3769	0.09266	mg/L	0	4/27/2024 5:15:09 PM	
Unknown	NPOC/TN	Untitled	DI					0.3584	0.02404	mg/L	0	4/27/2024 5:30:43 PM	
Unknown	NPOC/TN	Untitled	DI					0.3651	0.02206	mg/L	0	4/27/2024 5:49:38 PM	
Unknown	NPOC/TN	Untitled	DI					0.3436	0.05493	mg/L	0	4/27/2024 6:05:21 PM	
Unknown	NPOC/TN	Untitled	ChkStd_50C_2N					47.00	2.503	mg/L	1	4/27/2024 6:24:35 PM	
Unknown	NPOC/TN	Untitled	DI					0.4347	0.04699	mg/L	0	4/27/2024 6:43:18 PM	
Standard	NPOC	CalCurve_NPOC	Untitled					100.0		mg/L	2, 3, 4, 5, 6, 7, 8, 9	4/27/2024 9:28:20 PM	
Unknown	NPOC/TN	Untitled	DI					0.4824	0.02605	mg/L	0	4/27/2024 9:49:21 PM	
Standard	TN	CalCurve_TN	Untitled						3.000	mg/L	10, 11, 12, 13, 14, 15, 16	4/28/2024 12:22:56 AM	
Unknown	NPOC/TN	Untitled	DI					0.3620	0.07797	mg/L	0	4/28/2024 12:44:19 AM	
Unknown	NPOC/TN	Untitled	ChkStd_50C_2N					48.54	0.00793	mg/L	17	4/28/2024 1:07:50 AM	
Unknown	NPOC/TN	Untitled	DI					0.4116	0.06004	mg/L	0	4/28/2024 1:27:50 AM	
Unknown	NPOC/TN	Untitled	1_202404_SWH_UP_LysA_10cm					11.51	0.3531	mg/L	18	4/28/2024 1:51:45 AM	
Unknown	NPOC/TN	Untitled	2_202404_SWH_UP_LysA_20cm					10.02	0.3508	mg/L	19	4/28/2024 2:14:11 AM	
Unknown	NPOC/TN	Untitled	3_202404_SWH_UP_LysA_45cm					14.60	0.4496	mg/L	20	4/28/2024 2:37:04 AM	
Unknown	NPOC/TN	Untitled	4_202404_SWH_UP_LysB_10cm					32.99	0.8773	mg/L	21	4/28/2024 3:00:59 AM	
Unknown	NPOC/TN	Untitled	5_202404_SWH_UP_LysB_20cm					51.89	1.435	mg/L	22	4/28/2024 3:25:54 AM	
Unknown	NPOC/TN	Untitled	6_202404_SWH_UP_LysB_45cm					25.90	0.7021	mg/L	23	4/28/2024 3:48:54 AM	
Unknown	NPOC/TN	Untitled	7_202404_SWH_UP_LysC_10cm					22.65	0.8296	mg/L	24	4/28/2024 4:13:16 AM	
Unknown	NPOC/TN	Untitled	8_202404_SWH_UP_LysC_20cm					21.63	0.6142	mg/L	25	4/28/2024 4:36:01 AM	
Unknown	NPOC/TN	Untitled	8_202404_SWH_UP_LysC_20cm_dup					21.81	0.6961	mg/L	26	4/28/2024 4:59:30 AM	
Unknown	NPOC/TN	Untitled	ChkStd_50C_2N					49.36	1.882	mg/L	27	4/28/2024 5:24:14 AM	
Unknown	NPOC/TN	Untitled	DI					0.4604	0.03093	mg/L	0	4/28/2024 5:51:15 AM	
