[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	6/21/2024 10:47:37 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 8:01:12 AM	1	1	NPOC	4.190	1.571	NPOC:1.172mg/L TN:-5.479mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 8:04:19 AM	1	2	NPOC	3.435	1.401	NPOC:1.172mg/L TN:-5.479mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 8:07:13 AM	1	3	NPOC	2.738	1.244	NPOC:1.172mg/L TN:-5.479mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 8:09:58 AM	1	4	NPOC	2.324	1.151	NPOC:1.172mg/L TN:-5.479mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 8:12:40 AM	1	5	NPOC	2.194	1.122	NPOC:1.172mg/L TN:-5.479mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 8:01:12 AM	1	1	TN	0.4436	18.00	NPOC:1.172mg/L TN:-5.479mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 8:04:19 AM	1	2	TN	0.1128	-10.31	NPOC:1.172mg/L TN:-5.479mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 8:07:13 AM	1	3	TN	0.1858	-4.061	NPOC:1.172mg/L TN:-5.479mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 8:09:58 AM	1	4	TN	0.2091	-2.067	NPOC:1.172mg/L TN:-5.479mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 8:18:59 AM	1	1	NPOC	1.655	1.000	NPOC:1.047mg/L TN:15.29mg/L	0	50	
