[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	6/21/2024 10:47:48 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	DI	Untitled					1.172	-5.479	mg/L	0	6/18/2024 8:12:40 AM	
Unknown	NPOC/TN	DI	Untitled					1.047	15.29	mg/L	0	6/18/2024 8:30:34 AM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					42.05	1989	mg/L	1	6/18/2024 8:53:34 AM	
Unknown	NPOC/TN	DI	Untitled					1.169	-10.65	mg/L	0	6/18/2024 9:13:16 AM	
Standard	NPOC	CalCurve_NPOC	Untitled					100.0		mg/L	2, 3, 4, 5, 6, 7, 8, 9	6/18/2024 11:47:37 AM	
Unknown	NPOC/TN	DI	Untitled					1.478	-2.358	mg/L	0	6/18/2024 12:06:55 PM	
Standard	TN	CalCurve_TN	Untitled						3.000	mg/L	10, 11, 12, 13, 14, 15, 16	6/18/2024 2:16:35 PM	
Unknown	NPOC/TN	DI	Untitled					0.6300	-0.01559	mg/L	0	6/18/2024 2:35:08 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					47.97	2.200	mg/L	17	6/18/2024 2:57:27 PM	
Unknown	NPOC/TN	DI	Untitled					0.8863	0.00177	mg/L	0	6/18/2024 3:18:59 PM	
Unknown	NPOC/TN	TMP_C_H3_20240607	Untitled					18.52	1.475	mg/L	18	6/18/2024 3:40:17 PM	
Unknown	NPOC/TN	TMP_SW_H3_20240607	Untitled					35.20	1.528	mg/L	19	6/18/2024 3:58:40 PM	
Unknown	NPOC/TN	TMP_FW_C6_20240607	Untitled					8.779	0.4539	mg/L	20	6/18/2024 4:22:35 PM	
Unknown	NPOC/TN	TMP_FW_I5_20240607	Untitled					12.60	0.5109	mg/L	21	6/18/2024 4:47:37 PM	
Unknown	NPOC/TN	DI	Untitled					0.9172	-0.02165	mg/L	0	6/18/2024 5:06:43 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					47.86	2.307	mg/L	22	6/18/2024 6:50:24 PM	
Unknown	NPOC/TN	DI	Untitled					0.8615	-0.00744	mg/L	0	6/18/2024 7:09:49 PM	
Unknown	NPOC/TN	TMP_FW_C6_T0_20240610	Untitled					8.087	0.3714	mg/L	23	6/18/2024 7:34:38 PM	
Unknown	NPOC/TN	TMP_FW_I5_T0_20240610	Untitled					12.82	0.5957	mg/L	24	6/18/2024 8:00:35 PM	
Unknown	NPOC/TN	TMP_SW_B4_T1_20240611	Untitled					19.21	1.460	mg/L	25	6/18/2024 8:26:42 PM	
Unknown	NPOC/TN	TMP_FW_C3_T1_20240611	Untitled					5.329	0.2405	mg/L	26	6/18/2024 8:53:20 PM	
Unknown	NPOC/TN	TMP_FW_C6_T1_20240611	Untitled					4.180	0.2676	mg/L	27	6/18/2024 9:17:23 PM	
Unknown	NPOC/TN	TMP_FW_D5_T1_20240611	Untitled					5.840	0.00678	mg/L	28	6/18/2024 9:41:37 PM	
Unknown	NPOC/TN	TMP_FW_F4_T1_20240611	Untitled					7.564	0.3032	mg/L	29	6/18/2024 10:04:50 PM	
Unknown	NPOC/TN	TMP_FW_I5_T1_20250611	Untitled					7.350	0.6129	mg/L	30	6/18/2024 10:30:11 PM	
Unknown	NPOC/TN	TMP_SW_B4_T2_AM_20240612	Untitled					6.176	0.7919	mg/L	31	6/18/2024 10:56:18 PM	
Unknown	NPOC/TN	TMP_SW_C3_T2_AM_20240612	Untitled					12.85	0.5984	mg/L	32	6/18/2024 11:22:41 PM	
