"","Project","plot","grid","Depth_cm","sample_type","Vial_ID","date","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL"
"1","COMPASS: TEMPEST","C","F6",15,"DOC","C_F6_DOC_20250711","20250711",24.78,2065,"",0.8238,58.8428571428571,"","7/14/2025 9:35:40 PM"," ",20250708,20250711,1340,1205,"EDT",10
"2","COMPASS: TEMPEST","C","H3",15,"DOC","C_H3_DOC_20250711","20250711",25.42,2118.33333333333,"",0.9261,66.15,"","7/14/2025 10:04:08 PM"," ",20250708,20250711,1038,1215,"EDT",20
"3","COMPASS: TEMPEST","C","H6",15,"DOC","C_H6_DOC_20250711","20250711",25.83,2152.5,"",0.8619,61.5642857142857,"","7/14/2025 11:45:04 PM"," ",20250708,20250711,1048,1224,"EDT",20
"4","COMPASS: TEMPEST","C","I5",15,"DOC","C_I5_DOC_20250711","20250711",17.98,1498.33333333333,"",0.5845,41.75,"","7/15/2025 12:12:38 AM"," ",20250708,20250711,1044,1236,"EDT",20
"5","COMPASS: TEMPEST","SW","B4",15,"DOC","SW_B4_DOC_20250711","20250711",75.8,6316.66666666667,"",2.597,185.5,"","7/15/2025 12:34:38 AM"," ",20250708,20250711,1224,738,"EDT",20
"6","COMPASS: TEMPEST","SW","C3",15,"DOC","SW_C3_DOC_20250711","20250711",96.36,8030,"",2.976,212.571428571429,"","7/15/2025 12:53:18 AM"," ",20250708,20250711,1218,750,"EDT",10
"7","COMPASS: TEMPEST","SW","D5",15,"DOC","SW_D5_DOC_20250711","20250711",32.21,2684.16666666667,"",1.26,90,"","7/15/2025 1:22:53 AM"," ",20250708,20250711,1228,801,"EDT",20
"8","COMPASS: TEMPEST","SW","E3",15,"DOC","SW_E3_DOC_20250711","20250711",41.82,3485,"",1.627,116.214285714286,"","7/15/2025 3:02:00 AM"," ",20250708,20250711,1347,815,"EDT",10
"9","COMPASS: TEMPEST","SW","F6",15,"DOC","SW_F6_DOC_20250711","20250711",61.9,5158.33333333333,"",2.374,169.571428571429,"","7/15/2025 3:31:11 AM"," ",20250708,20250711,1233,827,"EDT",20
"10","COMPASS: TEMPEST","SW","H3",15,"DOC","SW_H3_DOC_20250711","20250711",44.03,3669.16666666667,"",1.718,122.714285714286,"","7/15/2025 3:59:52 AM"," ",20250708,20250711,1243,850,"EDT",10
"11","COMPASS: TEMPEST","SW","H6",15,"DOC","SW_H6_DOC_20250711","20250711",61.34,5111.66666666667,"",1.909,136.357142857143,"","7/15/2025 4:29:05 AM"," ",20250708,20250711,1249,855,"EDT",10
"12","COMPASS: TEMPEST","SW","I5",15,"DOC","SW_I5_DOC_20250711","20250711",43.44,3620,"",2.113,150.928571428571,"","7/15/2025 4:57:33 AM"," ",20250708,20250711,1353,905,"EDT",10
"13","COMPASS: TEMPEST","FW","C3",15,"DOC","FW_C3_DOC_20250711","20250711",15.81,1317.5,"",0.8707,62.1928571428571,"","7/15/2025 5:25:59 AM"," ",20250708,20250711,1303,1006,"EDT",10
"14","COMPASS: TEMPEST","FW","C6",15,"DOC","FW_C6_DOC_20250711","20250711",10.3,858.333333333333,"",0.4455,31.8214285714286,"","7/15/2025 5:55:18 AM"," ",20250708,20250711,1253,1015,"EDT",20
"15","COMPASS: TEMPEST","FW","D5",15,"DOC","FW_D5_DOC_20250711","20250711",19.1,1591.66666666667,"",0.8667,61.9071428571429,"","7/15/2025 7:36:31 AM"," ",20250708,20250711,1258,1027,"EDT",20
"16","COMPASS: TEMPEST","FW","F4",15,"DOC","FW_F4_DOC_20250711","20250711",20.71,1725.83333333333,"",0.8748,62.4857142857143,"","7/15/2025 8:06:42 AM"," ",20250708,20250711,1413,1053,"EDT",10
"17","COMPASS: TEMPEST","FW","I5",15,"DOC","FW_I5_DOC_20250711","20250711",19.53,1627.5,"",0.849,60.6428571428571,"","7/15/2025 8:35:12 AM"," ",20250708,20250711,1313,1110,"EDT",20
