[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	5/29/2025 8:22:49 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 3:14:23 PM	1	1	NPOC	3.263	5.049	NPOC:5.040mg/L TN:0.1441mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 3:18:22 PM	1	2	NPOC	3.330	5.065	NPOC:5.040mg/L TN:0.1441mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 3:22:11 PM	1	3	NPOC	3.078	5.006	NPOC:5.040mg/L TN:0.1441mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 3:26:05 PM	1	4	NPOC	3.848	5.187	NPOC:5.040mg/L TN:0.1441mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 3:30:11 PM	1	5	NPOC	4.483	5.336	NPOC:5.040mg/L TN:0.1441mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 3:14:23 PM	1	1	TN	0.3750	0.1535	NPOC:5.040mg/L TN:0.1441mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 3:18:22 PM	1	2	TN	0.1759	0.1374	NPOC:5.040mg/L TN:0.1441mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 3:22:11 PM	1	3	TN	0.2255	0.1414	NPOC:5.040mg/L TN:0.1441mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 3:26:05 PM	1	4	TN	0.6117	0.1726	NPOC:5.040mg/L TN:0.1441mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 3:30:11 PM	1	5	TN	0.7429	0.1832	NPOC:5.040mg/L TN:0.1441mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 3:38:10 PM	1	1	NPOC	2.957	4.978	NPOC:5.009mg/L TN:0.1254mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 3:42:42 PM	1	2	NPOC	3.006	4.989	NPOC:5.009mg/L TN:0.1254mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 3:47:27 PM	1	3	NPOC	2.643	4.904	NPOC:5.009mg/L TN:0.1254mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 3:51:27 PM	1	4	NPOC	3.308	5.060	NPOC:5.009mg/L TN:0.1254mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 3:55:21 PM	1	5	NPOC	3.531	5.112	NPOC:5.009mg/L TN:0.1254mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 3:38:10 PM	1	1	TN	0.3594	0.1522	NPOC:5.009mg/L TN:0.1254mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 3:42:42 PM	1	2	TN	0.000	0.1231	NPOC:5.009mg/L TN:0.1254mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 3:47:27 PM	1	3	TN	0.000	0.1231	NPOC:5.009mg/L TN:0.1254mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 3:51:27 PM	1	4	TN	0.08340	0.1299	NPOC:5.009mg/L TN:0.1254mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 4:03:21 PM	1	1	NPOC	1.539	4.644	NPOC:4.926mg/L TN:0.1542mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 4:07:11 PM	1	2	NPOC	2.719	4.922	NPOC:4.926mg/L TN:0.1542mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 4:11:25 PM	1	3	NPOC	2.945	4.975	NPOC:4.926mg/L TN:0.1542mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 4:15:35 PM	1	4	NPOC	2.546	4.881	NPOC:4.926mg/L TN:0.1542mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 4:19:57 PM	1	5	NPOC	2.254	4.812	NPOC:4.926mg/L TN:0.1542mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 4:03:21 PM	1	1	TN	0.3588	0.1521	NPOC:4.926mg/L TN:0.1542mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 4:07:11 PM	1	2	TN	0.2797	0.1458	NPOC:4.926mg/L TN:0.1542mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 4:11:25 PM	1	3	TN	1.014	0.2051	NPOC:4.926mg/L TN:0.1542mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 4:15:35 PM	1	4	TN	0.5146	0.1647	NPOC:4.926mg/L TN:0.1542mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20250206_new.2025_02_06_19_31_29.cal	1.00		5/22/2025 4:19:57 PM	1	5	TN	0.000	0.1231	NPOC:4.926mg/L TN:0.1542mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 4:28:51 PM	1	1	NPOC	11.29	6.935	NPOC:7.109mg/L TN:1.495mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_1CN	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20250206_new.2025_02_06_16_13_12.cal	1.00		5/22/2025 4:32:40 PM	1	2	NPOC	12.07	7.119	NPOC:7.109mg/L TN:1.495mg/L	0	50	
