[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User		
Date/Time	10/2/2025 8:08:33 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	DI	Untitled					0.3164	-0.05891	mg/L	0	9/29/2025 12:33:21 PM	
Unknown	NPOC/TN	DI	Untitled					0.1268	-0.09512	mg/L	0	9/29/2025 12:58:24 PM	
Unknown	NPOC/TN	DI	Untitled					27.79	2.892	mg/L	1	9/29/2025 1:20:57 PM	
Unknown	NPOC/TN	DI	Untitled					0.08908	-0.03807	mg/L	0	9/29/2025 1:45:53 PM	
Unknown	NPOC/TN	DI	Untitled					0.03386	-0.09430	mg/L	0	9/29/2025 2:43:09 PM	
Unknown	NPOC/TN	DI	Untitled					-0.1251	-0.07135	mg/L	0	9/29/2025 3:07:27 PM	
Unknown	NPOC/TN	DI	Untitled					-0.07196	-0.1100	mg/L	0	9/29/2025 3:29:48 PM	
Unknown	NPOC/TN	DI	Untitled					-0.09034	-0.1056	mg/L	0	9/29/2025 3:51:09 PM	
Unknown	NPOC/TN	DI	Untitled					-0.1097	-0.06677	mg/L	0	9/29/2025 4:14:09 PM	
Unknown	NPOC/TN	DI	Untitled					-0.1758	-0.1072	mg/L	0	9/29/2025 4:43:47 PM	
Standard	NPOC	NPOC Cal	Untitled					60.00		mg/L	0, 1, 2, 3, 4, 5, 6	9/29/2025 6:59:12 PM	
Unknown	NPOC/TN	DI	Untitled					0.07062	-0.1106	mg/L	0	9/29/2025 7:21:23 PM	
Standard	TN	TN Cal	Untitled						10.00	mg/L	0, 7, 8, 9, 10, 11, 12	9/29/2025 9:28:42 PM	
Unknown	NPOC/TN	DI	DI					0.3251	0.04527	mg/L	0	9/29/2025 10:01:23 PM	
Unknown	NPOC/TN	Std Chk	DI					28.32	2.505	mg/L	13	9/29/2025 10:19:05 PM	
Unknown	NPOC/TN	DI	DI					0.3116	-0.02049	mg/L	0	9/29/2025 10:41:46 PM	
Unknown	NPOC/TN	2025_0902_W101.7_0815	DI					4.494	0.6508	mg/L	14	9/29/2025 11:01:57 PM	
Unknown	NPOC/TN	2025_0903_BWP-1_0905	DI					2.778	0.5452	mg/L	15	9/29/2025 11:28:25 PM	
Unknown	NPOC/TN	2025_0903_LB-1_0826	DI					1.757	1.031	mg/L	16	9/29/2025 11:44:34 PM	
Unknown	NPOC/TN	2025_0903_LB-2_0853	DI					1.812	0.5877	mg/L	17	9/30/2025 12:12:03 AM	
Unknown	NPOC/TN	2025_0903_LBC-1_0815	DI					2.428	0.3189	mg/L	18	9/30/2025 12:32:11 AM	
Unknown	NPOC/TN	2025_0903_NEB-1_0850	DI					2.605	0.6357	mg/L	19	9/30/2025 12:58:46 AM	
Unknown	NPOC/TN	2025_0903_NEBS_0915	DI					2.473	0.5359	mg/L	20	9/30/2025 1:24:49 AM	
Unknown	NPOC/TN	2025_0903_NWB-1_0849	DI					1.870	0.7001	mg/L	21	9/30/2025 1:51:09 AM	
Unknown	NPOC/TN	2025_0903_NWB-2_0745	DI					1.819	0.9088	mg/L	22	9/30/2025 2:13:45 AM	
Unknown	NPOC/TN	2025_0903_NWB-3_0955	DI					2.043	0.8777	mg/L	23	9/30/2025 2:40:40 AM	
Unknown	NPOC/TN	DI	DI					0.2040	-0.00849	mg/L	0	9/30/2025 3:02:45 AM	
Unknown	NPOC/TN	Std Chk	DI					27.55	2.464	mg/L	24	9/30/2025 3:25:33 AM	
Unknown	NPOC/TN	DI	DI					0.5158	-0.02115	mg/L	0	9/30/2025 3:48:36 AM	
Unknown	NPOC/TN	2025_0903_NWB-4_0808	DI					1.718	0.8629	mg/L	25	9/30/2025 4:16:12 AM	
Unknown	NPOC/TN	2025_0903_PB-1_0836	DI					1.890	0.5840	mg/L	26	9/30/2025 4:42:24 AM	
Unknown	NPOC/TN	2025_0903_QR-1_0850	DI					1.900	0.8865	mg/L	27	9/30/2025 5:09:09 AM	
Unknown	NPOC/TN	2025_0903_SC-1_0721	DI					1.680	1.723	mg/L	28	9/30/2025 5:29:39 AM	
Unknown	NPOC/TN	2025_0903_SC-2_0838	DI					1.592	1.566	mg/L	29	9/30/2025 5:50:54 AM	
Unknown	NPOC/TN	2025_0903_SC-3_0833	DI					1.594	1.820	mg/L	30	9/30/2025 6:15:02 AM	
Unknown	NPOC/TN	2025_0903_SC-4_0700	DI					1.150	1.798	mg/L	31	9/30/2025 6:39:27 AM	
Unknown	NPOC/TN	2025_0903_SCS_0800	DI					1.650	1.560	mg/L	32	9/30/2025 6:59:52 AM	
Unknown	NPOC/TN	2025_0903_WB-1_0800	DI					1.999	1.076	mg/L	33	9/30/2025 7:27:12 AM	
Unknown	NPOC/TN	2025_0903_WB-1_0800 dup	DI					1.946	1.113	mg/L	34	9/30/2025 7:49:54 AM	
Unknown	NPOC/TN	DI	DI					0.2470	-0.02300	mg/L	0	9/30/2025 8:12:01 AM	
Unknown	NPOC/TN	Std Chk	DI					27.26	2.385	mg/L	35	9/30/2025 8:40:09 AM	
Unknown	NPOC/TN	DI	DI					0.5104	-0.02030	mg/L	0	9/30/2025 9:02:25 AM	
Unknown	NPOC/TN	2025_0903_WB-2_0835	DI					2.165	0.6576	mg/L	36	9/30/2025 9:22:43 AM	
Unknown	NPOC/TN	2025_0903_WBS_1130	DI					2.081	0.7062	mg/L	37	9/30/2025 9:52:11 AM	
Unknown	NPOC/TN	2025_0904_W101_Rep1_	DI					27.36	5.128	mg/L	38	9/30/2025 10:14:26 AM	
Unknown	NPOC/TN	2025_0904_W102_Rep1_	DI					16.17	2.196	mg/L	39	9/30/2025 10:36:33 AM	
Unknown	NPOC/TN	2025_0904_W110_Rep1_	DI					20.67	4.765	mg/L	40	9/30/2025 10:54:45 AM	
Unknown	NPOC/TN	2025_0909_1837A_1121	DI					4.833	2.591	mg/L	41	9/30/2025 11:19:09 AM	
Unknown	NPOC/TN	2025_0910_Field Blank_0945	DI					0.4015	0.02595	mg/L	42	9/30/2025 11:43:06 AM	
Unknown	NPOC/TN	2025_0910_NEBS_0930	DI					4.061	0.5964	mg/L	43	9/30/2025 12:10:17 PM	
Unknown	NPOC/TN	2025_0910_NEBS dup_0930	DI					4.394	0.5740	mg/L	44	9/30/2025 12:37:00 PM	
Unknown	NPOC/TN	2025_0910_SCS_0815	DI					2.759	1.087	mg/L	45	9/30/2025 12:53:12 PM	
