[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User		
Date/Time	10/2/2025 8:08:16 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 12:18:39 PM	1	1	NPOC	7.738	0.6459	NPOC:0.3164mg/L TN:-0.05891mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 12:22:24 PM	1	2	NPOC	7.157	0.5048	NPOC:0.3164mg/L TN:-0.05891mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 12:26:09 PM	1	3	NPOC	6.574	0.3631	NPOC:0.3164mg/L TN:-0.05891mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 12:29:54 PM	1	4	NPOC	6.184	0.2684	NPOC:0.3164mg/L TN:-0.05891mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 12:33:21 PM	1	5	NPOC	6.387	0.3177	NPOC:0.3164mg/L TN:-0.05891mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 12:18:39 PM	1	1	TN	0.2026	-0.09084	NPOC:0.3164mg/L TN:-0.05891mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 12:22:24 PM	1	2	TN	0.4578	-0.06170	NPOC:0.3164mg/L TN:-0.05891mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 12:26:09 PM	1	3	TN	0.4233	-0.06564	NPOC:0.3164mg/L TN:-0.05891mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 12:29:54 PM	1	4	TN	0.5655	-0.04940	NPOC:0.3164mg/L TN:-0.05891mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 12:40:58 PM	1	1	NPOC	5.507	0.1040	NPOC:0.1268mg/L TN:-0.09512mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 12:44:42 PM	1	2	NPOC	5.618	0.1309	NPOC:0.1268mg/L TN:-0.09512mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 12:48:26 PM	1	3	NPOC	5.678	0.1455	NPOC:0.1268mg/L TN:-0.09512mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 12:40:58 PM	1	1	TN	0.000	-0.1140	NPOC:0.1268mg/L TN:-0.09512mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 12:44:42 PM	1	2	TN	0.2000	-0.09113	NPOC:0.1268mg/L TN:-0.09512mg/L	0	50	
