Event,Plot,Grid,date,sample_name,Na_mgL_Porewater_average,Na_mgL_Porewater_stdev,K_mgL_Porewater_average,K_mgL_Porewater_stdev,Ca_mgL_Porewater_average,Ca_mgL_Porewater_stdev,Mg_mgL_Porewater_average,Mg_mgL_Porewater_stdev,Al_mgL_Porewater_average,Al_mgL_Porewater_stdev,S_mgL_Porewater_average,S_mgL_Porewater_stdev,Fe_mgL_Porewater_average,Fe_mgL_Porewater_stdev,P_mgL_Porewater_average,P_mgL_Porewater_stdev,Na_flag,K_flag,Ca_flag,Mg_flag,Al_flag,S_flag,Fe_flag,P_flag
TMP,FW,POOL,2022-06-23,TMP_FW_POOL_T3,1,0.0254,7.055868532079379,0.03175140839435721,2.558813310065179,0.010235253240260716,1.722981650910805,0.00740882109891646,0.66,0.00234,2.3805131455275688,0.011902565727637846,0.2,0.0017,0.2,0.0102,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,SW,POOL,2022-06-23,TMP_SW_POOL_T3,1142.7737324068346,3.199766450739137,42.55847048273436,0.13193125849647647,141.64417348857236,0.16997300818628683,120.7342012864036,0.3259823434732897,7.70205802235353,0.023876379869295937,127.38715117990748,0.14012586629789825,0.4,0.034480000000000004,0.4,0.02396,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,FW,POOL,2022-06-24,TMP_FW_POOL_T4,2,0.0386,7.020314692645036,0.09196612247364995,2.832061287712033,0.012744275794704153,1.6842109527531652,0.008926318049591776,1.240541259399576,0.012777574971815631,1.5720251150448987,0.04071545047966288,0.4,9.6e-4,0.4,0.01044,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,C,POOL,2022-06-24,TMP_C_POOL_T4,3.333333333333333,0.17533333333333334,5.936247178250214,0.05105172573295184,2.4971862039830457,0.015981991705491493,0.8187018321618164,0.004748470626538535,2.2055487733027057,0.00727831095189893,0.8876286149166346,0.07305183500763902,0.6666666666666667,0.0047333333333333324,0.6666666666666667,0.012400000000000005,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,SW,POOL,2022-06-24,TMP_SW_POOL_T4,901.8811049933277,14.069345237895911,33.42376734154695,0.23396637139082865,102.21089419098868,0.8483504217852059,81.09337020324163,0.36492016591458726,4.62243704347526,0.3360511730606514,99.99495388397023,0.7599616495181738,1.1273322147540328,0.1479059865757291,0.4,3.30224,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,C,POOL,2022-09-12,TMP_C_POOL_20220912,2,0.17,4.437139041707488,0.044371390417074885,1.5679167426959033,0.0036062085082005767,0.6686047783193095,0.006284884916201509,1.407022238654244,0.004924577835289854,0.9109864665464691,0.011022936245212276,0.4,0.01308,0.4,0.015560000000000004,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,FW,POOL,2022-09-12,TMP_FW_POOL_20220912,2,0.1168,11.491188443841146,0.032175327642755214,2.273062481441949,0.0034095937221629235,1.4216769922772006,0.006824049562930562,1.2512500721380233,0.013888875800732055,0.8371888026998509,0.023357567595325843,0.4,0.00368,0.4,0.006320000000000001,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,SW,POOL,2022-09-12,TMP_SW_POOL_20220912,82.45939045820211,2.0120091271801317,7.9925354670955615,0.2062074150510655,4.263992523434515,0.2059508388818871,2.688800780709628,0.361374824927374,2.598751485344194,0.1457899583278093,8.474978338240897,0.2110269606221984,1,0.4732,0.5,0.0321,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,C,POOL,2022-10-19,TMP_C_POOL_20221019,2.5,0.229,4.158166360975954,0.04199748024585713,1.614105360482826,0.006617831977979586,0.6487743783314479,0.003633136518656109,1.5950871435090703,0.0090919967180017,0.6951620185730949,0.043725690968247674,0.5,0.0067,0.5,0.02245,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,FW,POOL,2022-10-19,TMP_FW_POOL_20221019,3.333333333333333,0.454,9.658706985159043,0.1149386131233926,2.5009713259616775,0.016506410751347074,1.4794715347630052,0.025890751858352597,2,0.024,1.1310038893044174,0.02510828634255807,0.6666666666666667,0.005266666666666668,0.6666666666666667,0.018200000000000004,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,0.3 ppm detection limit; measured value ≤ ddetection limit for value before dilution correction,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,SW,POOL,2022-10-19,TMP_SW_POOL_20221019,141.8715231202578,6.28490847422742,7.1567192128420976,0.9740294848678096,4.314640500836473,1.3237317056566305,4.1256085232810245,1.8420842056449775,2.680014339934936,0.8222283994920383,19.012376452022558,6.808332007469277,4.379407489687408,3.591114141543674,0.5,0.60235,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,C,POOL,2023-02-02,TMP_C_POOL_20230202,2,0.49700000000000005,3.7591340286287354,0.06014614445805976,1.924205402605376,0.0065422983688582775,0.723772241825547,0.01433069038814583,1.351483889021672,0.00973068400095604,0.8309081504575856,0.0655586530711035,0.4,0.0029200000000000003,0.4,0.02008,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,FW,POOL,2023-02-02,TMP_FW_POOL_20230202,2,0.2526,5.569616793482957,0.03118985404350456,2.3547986303072648,0.011773993151536329,1.4438981223710157,0.011695574791205228,1.2088002714079973,0.008219841845574382,1.3349304928993813,0.029368470843786392,0.4,0.006,0.4,0.018920000000000003,0.5 ppm detection limit; measured value ≤ detection limit for value before dilution correction,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,SW,POOL,2023-02-02,TMP_SW_POOL_20230202,187.2154040594129,26.827967401713867,6.119112574635204,0.3781611571124556,4.329727804132873,0.8668115063874012,4.623991456564252,1.063055635864122,3.9185526696169033,0.490994649502998,14.994955032763214,1.820387540977454,5.74866253019285,1.9660425853259549,0.4,0.1124,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
TMP,SW,POOL,2022-06-22,TMP_SW_POOL_T2,1278.9178399176494,8.312965959464721,44.677648946168375,0.05808094363001889,128.3237675485978,0.7186130982721478,123.85039891354208,0.11146535902218786,7.979516190566219,0.19629609828792896,151.87309769195343,0.7138035591521811,1.2,0.70128,0.4,0.05992000000000001,NA,NA,NA,NA,NA,NA,NA,0.1 ppm detection limit; measured value ≤ detection limit for value before dilution correction
