"","Project","Sample_ID","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","TMP","TMP_SW_B4_20240426_15CM","SW","B4","15CM",NA,NA,NA,NA,"20240426",0.224407361197754,"Within_Range","SO4 checks perc diff out of range",0.214595204513399,"Within_Range","",0.0137725718,"2025-08-13","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  Some sample IDs are missing from metadata: 
  TMP_SW_B4_20240426_15CM
  TMP_SW_B4_20240711_15CM
  TMP_SW_F6_20241111_15CM
  ",NA
"2","TMP","TMP_SW_F6_20240426_15CM","SW","F6","15CM",NA,NA,"PW",5,"20240426",0.462021210230817,"Within_Range","SO4 checks perc diff out of range",0.21761071932299,"Within_Range","",0.0139657401,"2025-08-13","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  Some sample IDs are missing from metadata: 
  TMP_SW_B4_20240426_15CM
  TMP_SW_B4_20240711_15CM
  TMP_SW_F6_20241111_15CM
  ",NA
"3","TMP","TMP_C_H3_20240426_15CM","C","H3","15CM",NA,NA,"PW",5,"20240426",0.149451029320025,"Within_Range","SO4 checks perc diff out of range",0.227906911142454,"Within_Range","",0.0146252951,"2025-08-13","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  Some sample IDs are missing from metadata: 
  TMP_SW_B4_20240426_15CM
  TMP_SW_B4_20240711_15CM
  TMP_SW_F6_20241111_15CM
  ",NA
"4","TMP","TMP_FW_C6_20240426_15CM","FW","C6","15CM",NA,NA,"PW",5,"20240426",0.0141266375545852,"Within_Range","SO4 checks perc diff out of range",0.0159210155148096,"Within_Range","",0.0010458708,"2025-08-13","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  Some sample IDs are missing from metadata: 
  TMP_SW_B4_20240426_15CM
  TMP_SW_B4_20240711_15CM
  TMP_SW_F6_20241111_15CM
  ",NA
"5","TMP","TMP_C_I5_20240426_15CM","C","I5","15CM",NA,NA,"PW",5,"20240426",0.0142888334373051,"Within_Range","SO4 checks perc diff out of range",0.015771509167842,"Within_Range","",0.0010362937,"2025-08-13","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  Some sample IDs are missing from metadata: 
  TMP_SW_B4_20240426_15CM
  TMP_SW_B4_20240711_15CM
  TMP_SW_F6_20241111_15CM
  ",NA
"6","TMP","TMP_FW_F4_20240426_15CM","FW","F4","15CM",NA,NA,"PW",5,"20240426",0.0296943231441048,"Within_Range","SO4 checks perc diff out of range",0.0162397743300423,"Within_Range","",0.0010662899,"2025-08-13","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  Some sample IDs are missing from metadata: 
  TMP_SW_B4_20240426_15CM
  TMP_SW_B4_20240711_15CM
  TMP_SW_F6_20241111_15CM
  ",NA
"7","TMP","TMP_FW_H3_20240426_15CM","FW","H3","15CM",NA,NA,"PW",5,"20240426",0.213727386150967,"Within_Range","SO4 checks perc diff out of range",0.103732016925247,"Within_Range","",0.0066708811,"2025-08-13","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  Some sample IDs are missing from metadata: 
  TMP_SW_B4_20240426_15CM
  TMP_SW_B4_20240711_15CM
  TMP_SW_F6_20241111_15CM
  ",NA
"8","TMP","TMP_FW_D5_20240426_15CM","FW","D5","15CM",NA,NA,"PW",5,"20240426",0.0261291328758578,"Within_Range","SO4 checks perc diff out of range",0.0192214386459803,"Within_Range","",0.0012572898,"2025-08-13","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  Some sample IDs are missing from metadata: 
  TMP_SW_B4_20240426_15CM
  TMP_SW_B4_20240711_15CM
  TMP_SW_F6_20241111_15CM
  ",NA
"9","TMP","TMP_FW_I5_20240426_15CM","FW","I5","15CM",NA,NA,"PW",5,"20240426",0.00434497816593886,"Within_Range","SO4 checks perc diff out of range",0.0755937940761636,"Within_Range","",0.0048683986,"2025-08-13","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  Some sample IDs are missing from metadata: 
  TMP_SW_B4_20240426_15CM
  TMP_SW_B4_20240711_15CM
  TMP_SW_F6_20241111_15CM
  ",NA
"10","TMP","TMP_C_H6_20240426_15CM","C","H6","15CM",NA,NA,"PW",5,"20240426",0.0157860262008734,"Within_Range","SO4 checks perc diff out of range",0.0674668547249647,"Within_Range","",0.0043478019,"2025-08-13","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  Some sample IDs are missing from metadata: 
  TMP_SW_B4_20240426_15CM
  TMP_SW_B4_20240711_15CM
  TMP_SW_F6_20241111_15CM
  ",NA
