"","Project","Sample_ID","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","SO4_Conc_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_Conc_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"1","TMP","TMP_C_H6_20240607_15CM","C","H6","15CM",NA,NA,"PW",5,"20240607",0.00514036182158453,"Within_Range","SO4 checks perc diff out of range",0.0168236953455571,"Within_Range","",0.0011036948,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ",NA
"2","TMP","TMP_C_H3_20240607_15CM","C","H3","15CM",NA,NA,"PW",5,"20240607",0.00551466001247661,"Within_Range","SO4 checks perc diff out of range",0.0568631875881523,"Within_Range","",0.0036685506,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ",NA
"3","TMP","TMP_FW_D5_20240607_15CM","FW","D5","15CM",NA,NA,"PW",5,"20240607",0.00800062383031815,"Within_Range","SO4 checks perc diff out of range",0.00818899858956276,"Within_Range","",0.0005505721,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ",NA
"4","TMP","TMP_FW_C6_20240607_15CM","FW","C6","15CM",NA,NA,"PW",5,"20240607",0.5023986275733,"Within_Range","SO4 checks perc diff out of range",0.0372947813822285,"Within_Range","",0.0024150347,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ",NA
"5","TMP","TMP_FW_H6_20240607_15CM","FW","H6","15CM",NA,NA,"PW",5,"20240607",0.044451029320025,"Within_Range","SO4 checks perc diff out of range",0.00713399153737659,"Within_Range","",0.0004829903,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ",NA
"6","TMP","TMP_FW_I5_20240607_15CM","FW","I5","15CM",NA,NA,"PW",5,"20240607",0.000205864004990643,"Within_Range","SO4 checks perc diff out of range",0.00863469675599436,"Within_Range","",0.0005791227,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ",NA
"7","TMP","TMP_SW_H3_20240607_15CM","SW","H3","15CM",NA,NA,"PW",5,"20240607",0.491088583905178,"Within_Range","SO4 checks perc diff out of range",0.0303159379407616,"Within_Range","",0.0019679829,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ","yellow"
"8","TMP","TMP_SW_B4_20240607_15CM","SW","B4","15CM",NA,NA,"PW",5,"20240607",0.0681565814098565,"Within_Range","SO4 checks perc diff out of range",0.205968970380818,"Within_Range","",0.0132199912,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ","yellow"
"9","TMP","TMP_C_H6_20240610_15CM","C","H6","15CM",NA,NA,NA,NA,"20240610",0.00703368683718029,"Within_Range","SO4 checks perc diff out of range",0.0540197461212976,"Within_Range","",0.003486405,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ",NA
"10","TMP","TMP_FW_D5_20240610_15CM_T0","FW","D5","15CM","T0",NA,"PW",5,"20240610",0.00603555832813475,"Within_Range","SO4 checks perc diff out of range",0.0681382228490832,"Within_Range","",0.0043908085,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ",NA
"11","TMP","TMP_FW_I5_20240610_15CM_T0","FW","I5","15CM","T0",NA,"PW",5,"20240610",0,"bdl","SO4 checks perc diff out of range",0.0344146685472496,"Within_Range","",0.00223054,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ",NA
"12","TMP","TMP_FW_C6_20240610_15CM_T0","FW","C6","15CM","T0",NA,"PW",5,"20240610",0.00618527760449158,"Within_Range","SO4 checks perc diff out of range",0.0199266572637518,"Within_Range","",0.0013024648,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ",NA
"13","TMP","TMP_FW_I5_20240611_15CM_T1","FW","I5","15CM","T1",NA,"PW",5,"20240611",0.131550218340611,"Within_Range","SO4 checks perc diff out of range",0.130662905500705,"Within_Range","",0.008396024,"2025-08-14","Check standard 1 is low for SO4, so <80% of Sulfate Check 
  Standards are within range of expected concentration. The peaks look uniform, 
  so I'm not sure why the standard is low. 
  The 1st duplicate has high CV for Cl. 
  Some sample IDs are missing from metadata: TMP_C_H6_20240610_15CM, TMP_SW_H3_20240612_15CM_T3 
  ",NA
