Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.577	0.4043	6.47	0.3638	2.49
6	Standard 2	Calibration Standard	4.57	0.9053	6.97	0.8146	5.41
7	Standard 3	Calibration Standard	4.563	1.895	7.13	1.705	10.96
8	Standard 4	Calibration Standard	4.52	9.9631	7.23	8.9643	53.11
9	Standard 5	Calibration Standard	4.48	20.0361	7.27	18.0275	98.39
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	4.57	0.0121	100	0.0109	0.06
12	1_TEMPEST_SW_B4_20240426_15cm	Unknown	4.58	7.1945	1.19	0.1295	0.35
13	2_TEMPEST_SW_F6_20240426_15cm	Unknown	4.58	14.8124	2.42	0.2665	1.19
14	3_TEMPEST_C_H3_20240426_15cm	Unknown	4.567	4.7914	0.81	0.0862	0.15
15	4_TEMPEST_FW_C6_20240426_15cm	Unknown	4.573	0.4529	0.09	0.0081	0.06
16	Standard 4	Check Standard	4.557	9.9499	7.23	8.9525	53.04
17	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
18	5_TEMPEST_C_I5_20240426_15cm	Unknown	4.57	0.4581	0.09	0.0082	0.05
19	6_TEMPEST_FW_F4_20240426_15cm	Unknown	4.577	0.952	0.19	0.0171	0.11
20	7_TEMPEST_FW_H3_20240426_15cm	Unknown	4.577	6.8521	1.2	0.1233	0.35
