Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.567	0.4016	6.33	0.3637	2.48
6	Standard 2	Calibration Standard	4.567	0.9035	6.85	0.8181	5.4
7	Standard 3	Calibration Standard	4.56	1.8837	7.06	1.7057	10.9
8	Standard 4	Calibration Standard	4.517	9.9598	7.24	9.0188	53.26
9	Standard 5	Calibration Standard	4.483	20.039	7.26	18.1457	98.86
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_TEMPEST_C_H6_20240607_15cm	Unknown	4.563	0.1648	0.03	0.003	0.02
13	2_TEMPEST_C_H3_20240607_15cm	Unknown	4.38	0.1768	0.04	0.0032	0.01
14	3_TEMPEST_FW_D5_20240607_15cm	Unknown	4.567	0.2565	0.05	0.0046	0.03
15	4_TEMPEST_FW_C6_20240607_15cm	Unknown	4.44	16.1069	3.39	0.2917	0
16	5_TEMPEST_FW_H6_20240607_15cm	Unknown	4.577	1.4251	0.3	0.0258	0.16
17	6_TEMPEST_FW_I5_20240607_15cm	Unknown	4.593	0.0066	0	0.0001	0
18	7_TEMPEST_SW_H3_20240607_15cm	Unknown	4.453	15.7443	3.38	0.2851	0
19	8_TEMPEST_SW_B4_20240607_15cm	Unknown	4.58	2.1851	0.37	0.0396	0.22
20	9_TEMPEST_C_H6_20240610_15cm	Unknown	4.567	0.1429	0.03	0.0026	0.02
