Project,Plot,Sample_ID,Volume_mL,Vial_ID,sample_location,Analyte,Evacuation_date_YYYMMDD,Collection_Date_YYYYMMDD,Collection_Start_Time_24hrs,Collection_End_Time_24hrs,EST_EDT,Notes
COMPASS: TEMPEST,Control,TMP_C_PW_E3_15cm_SO4_20250711,5,C_E3_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1330,1208,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_E3_15cm_FE_20250711,6,C_E3_FE_20250711,SERC,Fe,20250708,20250711,1330,1208,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F6_15cm_SO4_20250711,5,C_F6_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1340,1205,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F6_15cm_FE_20250711,5,C_F6_FE_20250711,SERC,Fe,20250708,20250711,1340,1205,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F6_15cm_DOC_20250711,10,C_F6_DOC_20250711,SERC,DOC,20250708,20250711,1340,1205,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F6_15cm_NUTR_20250711,7.5,C_F6_NUTR_20250711,SERC,NUTR,20250708,20250711,1340,1205,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_F6_15cm_CDOM_20250711,9,C_F6_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1340,1205,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_SO4_20250711,5,C_H3_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1038,1215,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_FE_20250711,6,C_H3_FE_20250711,SERC,Fe,20250708,20250711,1038,1215,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_DOC_20250711,20,C_H3_DOC_20250711,SERC,DOC,20250708,20250711,1038,1215,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_NUTR_20250711,14,C_H3_NUTR_20250711,SERC,NUTR,20250708,20250711,1038,1215,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_CDOM_20250711,9,C_H3_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1038,1215,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H3_15cm_ISO_20250711,2,C_H3_ISO_20250711,SERC,Isotopes,20250708,20250711,1038,1215,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_SO4_20250711,5,C_H6_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1048,1224,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_FE_20250711,6,C_H6_FE_20250711,SERC,Fe,20250708,20250711,1048,1224,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_DOC_20250711,20,C_H6_DOC_20250711,SERC,DOC,20250708,20250711,1048,1224,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_NUTR_20250711,14,C_H6_NUTR_20250711,SERC,NUTR,20250708,20250711,1048,1224,EDT,
